Domain	# of ligands	Comma-separated ligands
P21675_PF00439_1389_1472	1	DKH
P21675_PF00439_1511_1595	18	06M,5LV,67B,67C,69G,7M8,BMF,DKH,E9F,EIO,G9V,VCD,VJM,VK1,XWV,XWY,XXS,XXV
P21802_PF07714_481_757	10	3RH,9WX,AA2,ACP,ANP,EVC,EVL,M33,WF7,WFD
P21860_PF07714_709_965	2	ANP,DB8
P21964_PF01596_67_228	3	43J,SAM,SFG
P22087_PF01269_88_315	1	MTA
P22102_PF00551_808_988	22	3Y9,3YA,3YB,3YC,3YD,3YE,3YF,3YG,4DW,83A,DQB,DXY,DXZ,G71,G94,GAR,KEU,KT3,KT5,V97,V9A,V9V
P22102_PF01071_105_298	1	ATP
P22234_PF00731_267_409	1	C2R
P22303_PF00135_37_563	26	1YK,1YL,3VI,CVZ,E20,EBW,FP1,GD8,GNT,H0L,H0R,H1R,HI6,HLO,HUP,HUW,L0S,L1M,L2Y,LND,NWA,PQV,PQY,QRH,UCY,WW2
P22392_PF00334_5_139	1	GDP
P22455_PF07714_467_743	19	0LI,37O,40M,6LF,99K,9CT,AWX,AX0,BYU,FGF,FI3,GX3,HHL,QS7,XL5,XL6,XL7,XL8,XL9
P22607_PF07714_472_748	3	ACP,EVR,H6X
P22680_PF00067_32_497	2	0GV,K2B
P22736_PF00104_394_579	6	3MX,3MZ,3N0,3NB,T94,ZJ0
P22748_PF00194_37_285	7	6CC,6LH,AG4,AG5,ETS,EZL,TOR
P22830_PF00762_68_389	5	CHD,FDE,GF9,GFO,PP9
P22894_PF00413_107_262	18	01S,0D3,0DY,0ZB,2NI,5XT,7FY,AXA,AXB,BAT,BBT,BSI,E1S,EIN,FIN,HLE,PLH,QZK
P23141_PF00135_22_547	12	BEZ,COA,CTX,GD7,HTQ,MVB,NLX,PLM,SIA,TCH,THA,WW2
P23258_PF00091_4_215	3	GDP,GSP,GTP
P23368_PF03949_280_535	3	ATP,NAD,NAI
P23443_PF00069_91_352	9	3T3,5FI,72B,F76,FS7,FS9,FZ8,FZ9,STU
P23458_PF07714_875_1149	42	0NH,0NL,0NT,0Q2,0UJ,15T,1J5,1J6,1Q3,1Q4,5JG,66P,6TE,9T6,ADP,B7V,BFK,C5I,D7D,EYQ,G4J,GYQ,IZA,JAK,KEJ,KEP,KES,KEV,KEY,KF1,KF4,KGZ,KH5,KH8,KHE,KHH,LKQ,LKT,MI1,NTQ,NTW,R4S
P23467_PF00102_1727_1962	5	2UN,3UN,4UN,UA1,UA5
P23470_PF00102_874_1118	8	NX1,NX2,NX3,NX4,NX5,NXV,NXW,NXY
P23471_PF00102_1750_1991	1	7WL
P23526_PF00670_191_352	2	NAD,NAI
P23526_PF05221_140_431	6	ADC,ADN,AFX,NAD,NAI,NOC
P23919_PF02223_11_191	10	2DT,ADP,ANP,ATM,ATP,FDM,NYM,TAE,TMP,TYD
P23921_PF03477_1_89	2	ATP,DTP
P23946_PF00089_22_240	12	0BB,1P7,1P8,1P9,8W3,8W6,DRX,ES2,KPK,N7O,OHH,PMS
P24666_PF01451_9_154	6	6VX,6VY,B85,NLA,PMS,WE7
P24723_PF00069_355_614	1	07U
P24752_PF00108_42_299	1	COA
P24821_PF00147_1980_2189	2	RXJ,RXS
P24941_PF00069_4_286	327	02Z,03K,03Z,04Z,06Z,07Z,08Z,09K,09Z,0BX,0BY,0S0,106,107,10K,11K,12Z,16K,18K,18Z,19K,19Z,1CD,1CK,1N3,1PU,1QK,1RO,1Y6,1YG,207,20K,20Z,21Z,22Z,23D,24Z,25Z,26Z,27Z,292,2A6,2AN,2BZ,2KD,2PU,2SC,2WC,371,3FP,3I3,3I6,3QS,3SC,3TI,404,42K,45K,46K,48K,4CK,4QE,4SP,50Z,514,529,55S,56H,56Z,5BN,5BP,5JE,5SC,60K,61K,628,62K,6AE,6AF,6CP,6QB,6SC,6ZK,72L,740,75X,7YG,889,89E,8QT,99Z,9Z2,9ZB,A07,A27,A28,ADP,AEQ,AJR,AQG,ATP,B49,B98,BLZ,BRY,BWP,BYP,C53,C62,C75,C85,C94,C95,C96,CDK,CK1,CK2,CK3,CK4,CK5,CK6,CK7,CK8,CK9,CMG,CT6,CT7,CT8,CT9,D05,D23,D31,D42,D6I,DT1,DT2,DT4,DT5,DTQ,EFP,EFQ,ESJ,EZR,EZV,F18,F9Z,FAL,FAP,FB8,FBL,FC8,FCP,FCQ,FMD,FRT,FRV,G6T,HDT,HDU,HDY,HGH,HGK,HH8,HHB,HHT,HJK,HMD,I17,I19,I1P,I73,I74,IM9,INR,JWS,JYM,K4W,L0F,LIA,LQ5,LS1,LS2,LS3,LS4,LS5,LZ1,LZ2,LZ3,LZ4,LZ5,LZ7,LZ8,LZ9,LZA,LZB,LZC,LZD,LZE,LZM,MBP,MFP,MFQ,MFR,MFZ,MHR,MTW,MTZ,N14,N20,N41,N5B,N69,N76,NNN,NS9,NU5,NW1,O1Z,OLO,OWN,OY2,P48,P49,PDY,PM1,PMU,PO5,PVB,PY8,QQ2,R0N,R7B,RC8,RFZ,RJI,RRC,RYU,SBC,SC8,SC9,SCE,SCF,SCJ,SCQ,SCW,SCX,SCZ,SQ9,ST8,STU,SU9,T1T,T2A,T3C,T3E,T6Q,T7Z,T9N,TIY,TJF,U32,U55,U73,UCN,UN4,VAR,WG1,WG8,WXV,WY3,X01,X02,X03,X06,X07,X0A,X11,X14,X19,X1N,X35,X36,X3A,X40,X42,X43,X44,X46,X4B,X62,X63,X64,X65,X66,X67,X69,X6A,X6B,X72,X73,X75,X76,X84,X85,X86,X87,X88,X96,X9I,XA0,Y8L,YOS,Z02,Z04,Z14,Z19,Z30,Z31,Z46,Z60,Z62,Z63,Z67,Z68,Z71,ZIP,ZXC
P25098_PF00069_191_453	16	29X,8DJ,8PR,8PV,AFM,AFV,BA1,EJS,KZQ,Q1Y,QRW,SIX,W4D,W4G,ZS2,ZSO
P25205_PF00493_280_505	1	ADP
P25311_PF00129_26_201	2	11D,P6G
P25440_PF00439_353_441	36	1K0,31O,31P,59E,5P4,73B,7WY,87D,8J2,9HN,9HQ,9HT,9HW,9HZ,9J2,9J5,9J8,9JB,CQF,D7H,D7Q,EAM,G3J,G7V,H7B,HFU,HWV,JQ1,LDR,PMW,QYY,UM5,UM8,UME,V9N,YA3
P25440_PF00439_83_168	22	1GH,3PF,73B,A9N,A9O,BUX,BYH,CQF,EAM,G3J,G7V,HFU,HWV,JVY,JWA,JWD,P9I,P9M,S5B,TVP,TYL,WSH
P25774_PF00112_115_330	28	2FC,2FZ,599,935,93N,B9Y,BFV,BJD,BLN,C1P,C28,C4P,C71,CRJ,CRL,CRV,EF3,GNF,GNQ,H7J,MO9,MQQ,N2A,O64,TF5,Y11,Y14,Y15
P26196_PF00271_320_429	1	CXS
P26358_PF00145_1139_1594	2	SAH,SFG
P26639_PF00587_397_608	3	1B2,2CR,BC9
P27037_PF00069_196_481	3	6OJ,GVD,TAK
P27144_PF00406_10_190	1	GP5
P27338_PF01593_14_451	41	1PB,3PL,4CR,ASS,C17,C18,DPK,E8Z,E92,E98,F2M,FA8,FAD,FOF,ISN,K6Q,K72,K8B,LAZ,LDA,MA0,MBN,MBT,MFG,NYP,P1B,PJW,PNZ,PYJ,RAS,RGZ,RHP,RM1,RM2,RMA,RSA,SAG,SK5,SKB,XCG,ZON
P27348_PF00244_9_229	1	PE4
P27361_PF00069_42_330	3	38Z,5ID,6H3
P27448_PF00069_56_307	1	V5E
P27487_PF00326_559_765	1	A3M
P27694_PF04057_5_104	10	1DZ,1XS,1XT,2P9,3HS,3HV,3HW,3HZ,3J0,5KR
P27707_PF01712_24_258	40	18V,1NM,1NN,1NO,1QC,1UX,2XJ,2XL,2XM,2XN,2XZ,2Y0,2Y1,2Y7,2Y8,3D1,3L1,3TC,5BT,AC2,ADP,AR3,B86,B87,CFB,CL9,D5M,DCM,DCZ,ETV,G65,GEO,GNG,LDC,LLT,LTT,MCY,STI,UDP,UMP
P27815_PF00233_432_672	3	0MO,NPV,PNX
P28062_PF00227_69_251	2	S5K,SKN
P28065_PF00227_17_198	2	S5K,SKN
P28072_PF00227_31_213	5	6V7,6V8,6VC,BO2,KNM
P28074_PF00227_56_238	4	6V8,6VC,BO2,YHD
P28161_PF02798_3_82	3	GDN,GSM,GSO
P28347_PF17725_214_423	1	KK9
P28482_PF00069_25_313	82	19A,1FM,2SH,35W,35X,362,363,36O,36Q,36R,38Z,41B,4V8,4V9,4VB,4VF,4VG,4VJ,5ID,6H3,6QB,6TT,82A,8QB,8X2,8XB,8XE,8XH,8XK,8XN,ADP,AKS,ANP,B7S,CQ3,CQ6,CQ8,DHC,E28,E63,E71,E75,E86,E94,EK0,EK2,EK3,EK5,EK6,EK7,EK9,EMU,EQT,EQZ,ER8,ERK,ERW,ERZ,ESK,ESN,ESQ,ESW,EU2,EVK,EVQ,F0E,F0H,F29,FRZ,HVE,KE8,LHZ,N0V,NRA,RYW,SB2,UMN,UO5,UOE,UOH,UOW,Z48
P28702_PF00104_331_513	3	LG2,MEI,PLM
P28845_PF00106_35_230	40	07M,14M,17R,1EN,1EO,1EQ,21T,311,33T,352,3CZ,3OQ,3PJ,4JX,4YQ,7H6,8K4,8K7,8KA,8KD,8KG,A21,A49,CBO,D3E,D4N,DZL,H11,HD1,HD2,HJG,IIG,NAP,NDP,NN1,NN4,S05,SFF,T30,ZMG
P28907_PF02267_56_296	22	27C,41Z,46Z,733,APR,AVU,AVW,C8R,CGR,CVR,CXR,DN4,DVN,G1R,G2R,JS2,N1C,NA7,NAD,NGD,NMN,ROJ
P29016_PF16497_1_198	15	6PL,6UL,70E,CUY,D12,D21,D3D,GM2,GMM,P50,PII,POV,T8X,TWT,ULI
P29017_PF16497_1_199	4	6PL,D10,D12,EKG
P29317_PF07714_613_871	46	1N1,627,88Z,8ZH,8ZK,8ZN,8ZQ,8ZT,8ZW,8ZZ,90B,90E,90K,90N,90T,90W,90Z,912,91E,91H,91K,92Q,A5B,ACP,AGS,ANP,DB8,DWT,DXH,DXK,FZW,G02,G0E,G0H,G0K,G0N,G0Q,GV0,HMW,HNZ,HO5,HO8,HOT,L66,P17,ZZL
P29320_PF07714_621_878	12	25Q,37W,ANP,B96,C07,IFC,L66,L87,L90,O4B,Q0B,Q7M
P29373_PF00061_5_138	14	9U5,AZE,B3P,G9Q,LSR,Q5W,QPB,QPE,R12,R13,RE9,REA,RET,YWZ
P29375_PF02373_470_586	28	50P,6E8,6ED,6EO,6QN,90S,90V,DKP,DKS,DKV,DLJ,DNV,DNY,DO1,DQG,DQJ,DQS,H6A,H6G,H6J,H6M,H6S,H6T,H74,H77,K0I,LQT,MMK
P29401_PF00456_14_283	2	1U0,T6F
P29474_PF02898_119_481	23	327,5NI,6NI,7NI,7R2,8EV,8EY,8FD,8J4,CLW,F2J,INE,KL4,KL7,KLD,KMA,KMS,KNV,M16,M4R,OUG,W68,W69
P29475_PF02898_355_717	44	2SN,7R2,8EV,8EY,8F1,8FD,BY7,BYJ,BYV,EXI,F2J,H65,JHT,KL1,KL4,KL7,KLD,KLY,KM7,KMA,KMD,KMJ,KMM,KMS,KMV,KN4,KND,KNS,KNV,KPJ,M4R,M62,OUA,OUG,OUM,Q1T,W64,W66,W67,W68,W69,W79,W82,XEB
P29597_PF07714_589_866	15	2TT,3SM,7GL,AGS,IK1,KZJ,L8Y,L91,L9A,LAJ,LB4,LB7,NM7,VZG,VZJ
P29597_PF07714_897_1169	19	0X2,0X5,0X6,0XP,5U4,9T6,9ZS,ADP,G4J,G5D,IZA,MI1,R4S,R4V,R4Y,R5D,TZ1,UWM,UWP
P29973_PF00027_497_588	2	CMP,PCG
P29992_PF00503_16_348	1	GDP
P30043_PF13460_10_192	12	9ZZ,A80,JBC,JBF,JBL,JBO,JBR,LUM,MBV,NAP,SAS,TEI
P30044_PF08534_57_211	4	BEZ,BP7,EKZ,MCT
P30046_PF01187_2_116	2	7L9,RW1
P30086_PF01161_25_169	1	PTR
P30291_PF00069_299_569	21	05J,330,34W,396,61E,770,809,824,839,8X7,96M,98D,98G,98M,99J,99M,99V,DB8,P48,P91,XZN
P30405_PF00160_49_205	30	3AO,4SO,4ZL,4ZM,4ZO,4ZP,4ZT,4ZZ,502,53Z,5AO,5MZ,671,67Z,6AI,6B4,728,7B7,7I6,C4Y,EA4,JUZ,JV2,JVH,JVN,JVQ,JW2,JWB,N3M,Q8A
P30419_PF01233_137_294	3	94Q,COA,MYA
P30519_PF01126_31_236	2	DAO,OXN
P30520_PF00709_32_453	1	GDP
P30530_PF07714_536_803	1	7YS
P30711_PF13417_5_82	1	GTX
P30793_PF01227_71_249	1	HBI
P31327_PF02142_1373_1465	1	NLG
P31327_PF02786_1088_1291	1	ADP
P31327_PF02786_546_750	1	ADP
P31749_PF00069_150_408	18	0RF,0XZ,ANP,CQU,CQW,G4H,G4Q,IQO,L1Z,SM9,SMH,SMR,SMY,UC8,UCE,WFE,XFE,XM1
P31751_PF00069_152_409	10	ANP,G93,G95,G96,G98,GVP,I5S,L20,X37,X39
P31937_PF03446_41_200	1	NAD
P31939_PF02142_16_130	2	AMZ,XMP
P31947_PF00244_9_231	82	0KB,0KC,0KH,1CT,CW7,EZ5,FJA,FSC,FW1,G4Z,G8Q,G8T,GE8,GEH,GF8,HY5,JFS,JT2,K6Z,KLB,KTW,L1T,L3S,L3V,LF5,LFQ,M1T,NE5,NJW,O85,OO8,P5N,P5Q,P6H,P7E,S6B,S9E,SFW,SGH,T4Q,T4W,T4Z,T5N,T5Q,T5T,T5W,T5Z,T6H,T6N,T6W,TJ8,TJB,TJK,TKK,TL8,TLK,TLQ,TQK,TQW,TVB,TW8,UFH,UG2,UG5,UGQ,UPK,UPQ,UQN,UST,USW,UT8,UVE,UVK,UVQ,UVT,UVZ,UWQ,V4H,Y04,Y06,Y07,Y09
P32298_PF00069_187_449	1	AN2
P32320_PF00383_12_118	1	BRD
P32455_PF02263_18_282	1	5GP
P32455_PF02841_284_580	1	FAR
P32456_PF02263_18_280	1	GDP
P32929_PF01053_19_395	2	LPI,P1T
P33176_PF00225_14_325	2	ADP,ATP
P33261_PF00067_30_487	1	0XV
P33981_PF00069_525_791	56	052,0SQ,1O5,1PF,1PH,2QK,3D7,4T9,537,5O1,5O4,5O7,5OQ,7CE,7RO,8PT,8QE,8QW,8QZ,8RH,92M,AD5,ATP,AU5,C5N,CQ7,CX4,DYK,FMW,FZF,FZL,FZO,FZR,G0U,G5C,KE7,N66,NN5,O22,O23,O38,O43,P4C,PGF,PWU,S22,STU,SVE,W2K,WBI,X20,X21,Z0B,Z0W,ZO6,ZO8
P33991_PF00493_445_670	1	AGS
P33993_PF00493_320_541	1	AGS
P34096_PF00074_31_146	1	UM3
P34897_PF00464_49_448	1	8Z1
P34913_PF00561_259_531	94	1LF,1P8,24D,2RU,2RV,33N,3C5,49G,49N,49O,49Q,49R,49Z,4A0,4A5,4UA,4VY,4XH,5DQ,5ZM,6N0,6N4,6N8,6NF,6NJ,6NM,6NX,6NZ,6TZ,7WI,8NY,8TM,A0J,AUB,B7H,BSU,BXV,CIU,DUL,FVS,G3Q,G3T,G3W,GVG,GZP,HD2,I23,I5T,II6,JF6,JQN,K2T,K78,KJU,KUF,KWB,LWS,MVJ,MZL,NC3,NC4,NC6,NC7,OE1,ONR,OWW,PTG,Q3B,QYD,S0A,S0B,S0C,S0D,S0E,S0F,S0G,S0I,S0J,S0K,S38,S74,S82,S94,SZC,T5J,TGX,TK9,W9L,W9M,WMR,XM0,XQ9,YPN,ZYI
P34913_PF00702_3_197	2	8S9,HD2
P34947_PF00069_186_448	2	ANP,SGV
P35030_PF00089_81_296	2	BEN,BRN
P35228_PF00258_541_672	1	FMN
P35228_PF02898_135_497	1	AT2
P35270_PF00106_8_214	12	43O,4KL,H4E,H4H,H4T,H5B,H5E,H6E,NAP,NDP,SFY,YTZ
P35354_PF03098_198_560	7	COH,FLF,ID8,JMS,RCX,SAL,TLF
P35398_PF00104_308_494	3	4D8,C3S,CLR
P35557_PF00349_15_215	22	0H4,0H5,0H6,1FW,1FX,1FY,1J9,1JD,2N8,3LZ,4DC,8WJ,8WM,926,AJB,AJI,B84,HKM,MRK,TK1,VO1,VO2
P35557_PF03727_221_455	1	ANP
P35558_PF00821_260_618	4	FTB,GCP,TSX,UN8
P35914_PF00682_32_306	2	HGG,HMG
P35968_PF07714_834_1160	20	00J,03X,0JA,0KF,276,42Q,4TT,AV9,AXI,B49,BAX,BPK,F82,F88,F8B,GIG,K11,O35,O3E,XIN
P36404_PF00025_3_176	1	GTP
P36507_PF00069_72_369	2	5EA,ATP
P36639_PF00293_45_168	30	2GD,2GE,6Q3,8XT,95F,95L,95R,9CQ,AX7,BS8,BSW,BU5,C9E,C9L,CEU,CG0,CGX,CJ0,CJ6,CJ9,CJF,CJU,EV2,F3E,GN6,N91,RX8,UAN,VGH,VHS
P36776_PF05362_736_949	3	BO2,UFY,UKS
P36873_PF00149_57_252	1	CYU
P36897_PF00069_205_492	26	085,3WA,3WJ,3WK,3WN,3WO,460,55F,580,5L4,855,8LY,D0A,J2M,J2V,J2Y,JZO,PY1,QIG,QMV,QMY,STU,ZOP,ZUQ,ZZF,ZZG
P36959_PF00478_9_342	1	5GP
P37023_PF07714_202_489	1	LDN
P37173_PF07714_244_538	5	5L4,ANP,HJF,J2V,STU
P37173_PF08917_49_159	2	1PS,41D
P37231_PF00104_300_486	182	072,082,0W3,14R,17L,208,21L,240,241,243,24L,2PQ,3EA,3JX,3K2,3T0,486,4F1,4HD,4M5,4R8,538,544,570,5BC,5HE,5OX,5VN,65W,66B,6BH,6OB,6OC,7KK,7MV,7VA,8A7,8LX,8N6,8XO,9HO,A0L,A9C,A9F,ACD,AE0,AJA,AXY,AZ2,B05,B0X,B1O,B4H,BJB,BKY,BRL,BXG,C01,C03,C08,CEK,CTI,CTM,CTU,DIF,DKA,DKD,DRD,DRF,DRH,DRJ,DRY,E7C,EB6,EBF,EDK,EEY,EHA,EJL,EK1,EK8,EKP,EKS,ET0,ET1,EWR,FCM,FT7,G3S,GBV,GD4,GDY,GEV,GFV,GH1,GRR,GW4,GW9,H8R,HID,HIG,HV4,HXA,IMN,J35,J3F,J53,JJA,JJB,KK4,KNA,KRC,L92,LNA,LNB,LO4,LO7,LRG,LU2,M0T,M7R,M7S,MC5,MGZ,MLO,MLQ,MSZ,MX8,MYI,NQD,NRO,NSI,NZA,OCR,OCX,OLA,P1B,PLB,PTG,Q35,QMH,RO0,RO7,RRG,RRH,RTE,RTF,S44,SF1,SF2,SFI,SP0,SP3,SRO,STI,STL,T35,T4A,T51,T53,T65,T9T,TBY,TCE,TLS,UNT,XCX,XDH,XDI,XPT,Y1N,Y9A,YFB,YFD,YFE,YPA,YRG,Z12,Z27,ZAA,ZXG,ZZH
P37268_PF00494_47_320	17	8PH,B65,BH3,BH5,BH8,D3A,D61,D99,D9A,E5S,ER4,FPS,IN0,PS7,RWY,RWZ,ZGA
P38117_PF01012_26_214	1	AMP
P38606_PF00006_230_455	1	ADP
P39900_PF00413_108_263	51	023,068,077,0D2,10B,37A,55L,56O,576,8NT,8NW,B9N,B9Z,BDL,BKW,CGS,CP8,D3X,DEO,DSV,E37,EEA,EEC,EEF,EEG,HS1,HS3,HS4,HS5,HS6,HS7,HSI,JT5,K0Q,K8T,KLG,KLH,KLJ,LPW,M4S,NGH,NHK,PF3,QEG,R45,R47,R4B,R4C,TBL,Y38,Z79
P40306_PF00227_36_217	1	SKN
P40337_PF01847_63_144	33	3JF,3JG,3JH,3JJ,3JK,3JO,3JS,3JT,3JU,3JV,4YY,6Z3,9B5,9B8,9BH,9BK,9BN,9BT,9BW,DV2,DV5,DV8,EXE,EXH,L8B,QD0,TG0,TR0,UCK,V6F,X6C,ZTD,ZUN
P40394_PF00107_214_350	1	NAD
P40616_PF00025_5_177	2	GNP,GTP
P40692_PF13589_26_137	1	ADP
P40926_PF00056_25_168	2	NAD,NAI
P41180_PF00003_606_856	3	H43,YP1,YP4
P41222_PF00061_40_184	4	1PG,OLA,PE3,PLM
P41229_PF02373_501_617	1	MMK
P41235_PF00104_172_361	1	DAO
P41240_PF07714_195_440	1	STU
P41250_PF00587_291_592	1	AMP
P41279_PF00069_139_388	3	499,49B,6DA
P41743_PF00069_254_522	7	ACP,ADP,AFU,ANP,ATP,BI1,C58
P42126_PF00378_52_301	1	CO8
P42330_PF00248_18_301	39	0HV,0SL,0SZ,10H,15M,16J,511,9S0,ASD,BT9,CJ2,E04,FFW,FJR,FJU,FLF,FLR,GBM,GCZ,GMR,ID8,IMN,IZP,JMS,NAP,NDP,NPS,NPX,PG2,RUT,VJJ,WDS,WDT,WDU,WDV,WDW,WDX,YY2,ZOM
P42574_PF00656_44_274	3	160,161,H0E
P42684_PF07714_288_539	3	DKI,STI,VX6
P42768_PF00786_237_296	1	WSK
P42898_PF02219_48_337	1	FAD
P43166_PF00194_13_262	8	4IQ,EZL,FKE,FKK,FKQ,L8N,QOZ,U7Z
P43235_PF00112_115_328	42	0D6,0LB,0LC,1XF,2CA,3FC,3XT,3Y1,3Y2,750,7AS,CKE,CT1,CT2,E64,FSP,HKH,HVW,I10,I37,IHI,IHJ,IN3,IN6,INA,INP,J5N,KWZ,MYE,NBL,NFT,O47,O75,O96,ORG,ORH,PCM,POS,SDK,T2M,TCO,UUW
P43246_PF00488_665_852	1	ADP
P43250_PF00069_186_448	3	AMP,ANP,SGV
P43354_PF00104_393_579	3	8SU,G7J,RPG
P43403_PF07714_338_593	2	ANP,STU
P43405_PF07714_371_626	72	057,0JE,0K0,0K1,0SB,0VE,0VF,0VG,0VH,0XF,1B4,1B5,1B6,2X6,3RT,3YT,3YV,3YX,477,4DF,4DJ,4DK,4DL,4DN,4DO,4DQ,4DT,4MG,50H,50J,55M,55U,55Y,585,5JG,685,6ZF,6ZG,77V,7CU,7KF,7KG,8OR,8OU,ANP,CG4,CG9,FPU,FPW,FPX,GDH,GDK,LUE,P5C,PTR,QDZ,QF8,QFB,QFE,QFK,QFQ,R6D,S19,STI,STU,X3G,X4G,X5G,X6G,X7G,X8G,X9G
P43652_PF00273_222_394	1	PAM
P43652_PF00273_30_202	1	P6G
P45452_PF00413_112_267	43	033,1UA,24F,347,3EJ,3EK,3KE,3KR,3O2,3W4,3W5,4UE,4UF,4UM,518,5EL,732,8O7,8OA,8OJ,8OM,9DY,AZ4,AZ6,CBP,E3P,E41,FA4,GG1,LA3,MSB,PB3,PB4,PB5,PFD,RS1,SP6,WAY,WGG,WHH,WLL,WMM,WNN
P45974_PF02148_199_272	5	HH4,HHY,KKG,O4Y,ZPV
P45983_PF00069_26_321	19	0NR,1BJ,1BK,1J2,1V5,38Z,46A,537,73Q,859,877,893,ADN,ANP,AQ2,CFK,G1W,GS7,MYU
P45984_PF00069_26_321	2	35F,B96
P45985_PF00069_102_367	1	ANP
P46597_PF00891_117_327	2	ASE,SAM
P46934_PF00632_1013_1318	1	4YU
P48443_PF00104_255_443	1	PLM
P48637_PF03917_12_472	1	ADP
P48728_PF01571_38_291	1	THH
P48729_PF00069_17_260	2	LCI,TCE
P48730_PF00069_9_271	25	0CK,15G,16W,1QG,1QJ,1QM,1QN,1QO,37J,386,9WG,9XK,ACP,ADP,AUE,AUG,C9Z,CG5,D5Q,GE5,GEW,K0B,K0E,LCI,PFO
P48735_PF00180_45_441	3	69Q,NAP,NDP
P49137_PF00069_64_325	17	05B,793,ADP,B18,B97,B98,CD2,F10,HGF,L8I,LX9,MK2,MK3,P4O,PDY,STU,YRZ
P49327_PF00698_493_810	1	COA
P49327_PF00975_2242_2501	2	7FA,DH9
P49336_PF00069_22_335	28	0SO,0SQ,0SR,0SS,0ST,0SU,0SV,0SW,4TV,50R,5XG,5Y6,5Y7,5Y8,62M,66X,68U,69Z,6A6,8CC,8D6,BAX,C1I,JH8,JHK,JRE,MFE,NZ8
P49366_PF01916_44_354	3	8XY,GC7,NAD
P49427_PF00179_12_166	2	GZM,U94
P49591_PF00587_248_444	2	ANP,SSA
P49638_PF00650_97_247	2	TRT,VIV
P49674_PF00069_9_270	1	16W
P49736_PF00493_460_683	1	ADP
P49759_PF00069_161_477	30	06N,3NG,5ID,6FB,6FD,7A7,DBQ,E6T,E6W,EAE,EAQ,FG9,H3E,H3H,H3N,H3Q,HQB,IYZ,JQW,JTQ,JU8,JUW,JWN,KHC,PKB,PQ5,Q7K,RH8,SQZ,V25
P49760_PF00069_163_479	5	3NG,8FY,EAE,EAZ,NR9
P49761_PF00069_304_620	14	3NG,3RA,DKI,E6Q,EAE,EAQ,JWN,KHC,PQ5,Q7H,Q7Z,Q8B,Q8T,V25
P49773_PF01230_24_121	25	5GP,67D,6CE,6CG,6UR,6UU,777,9ZA,9ZD,A5A,ADN,ADP,ADW,AMP,AP2,BS5,C5P,D5M,IMP,KAA,KB7,KBD,KBJ,U5P,WSA
P49789_PF01230_9_105	3	AMW,AP2,IB2
P49841_PF00069_56_340	60	0KD,1JX,2WE,2WF,2WG,34O,3HT,3UO,3UP,553,55E,65A,65C,679,6LQ,6QH,6VK,6VL,6VM,7YG,ADP,AG1,ANP,ATU,B4K,BIM,BRW,CWT,DFN,DW1,F1B,F4N,FKB,G3B,G8B,G8E,G8N,GR9,HBM,I5R,IQ6,IXM,KDI,N1Q,OFT,OH8,OHK,OS1,QQA,SJJ,STU,SZW,TMU,TSK,UGJ,Z48,Z92,ZRK,ZRL,ZRM
P49862_PF00089_30_245	8	5VT,8R3,8VX,K7I,K7J,LFW,SH7,SH8
P49888_PF00685_37_287	6	A3P,EST,PCQ,PPS,XDI,YUG
P49916_PF01068_483_677	1	AMP
P49917_PF01068_248_451	2	AMP,ATP
P50053_PF00294_3_294	19	A0O,A1Y,A2J,A3J,A3Y,A4G,A4J,ANP,RYS,RZA,S6D,S6J,S6S,TR2,TR3,TR4,XNA,XNB,XNN
P50120_PF00061_6_134	15	1AG,E7Y,ECB,JLO,RET,RTL,VKV,VL7,VLP,VLZ,VPY,YOG,ZFG,ZFJ,ZFP
P50135_PF13489_27_217	6	2PM,4DI,C2M,CQA,SAH,THA
P50213_PF00180_33_358	2	NAD,NAI
P50225_PF00685_38_288	4	03V,3QV,A3P,EST
P50226_PF00685_38_288	1	A3P
P50579_PF00557_167_466	33	52T,57R,6KN,6KO,6KP,7BF,7BH,94A,A19,A41,A75,A84,AO1,AO2,AO5,F77,F79,FUG,HZE,HZK,HZQ,HZT,HZW,I96,K4K,OVA,QV5,QVB,QVK,QW5,R20,TDE,TN4
P50583_PF00293_12_137	1	ATP
P50613_PF00069_12_295	3	AGS,ATP,I74
P50750_PF00069_19_315	18	ADN,AMP,ANP,ATP,CPB,F18,LCI,Q6E,RFZ,SLQ,T3C,T3E,T6Q,T7Z,T9N,TO7,TOJ,UT5
P51148_PF00071_23_184	1	GNP
P51149_PF00071_10_175	2	GNP,GTP
P51151_PF00071_9_174	2	GDP,GTP
P51157_PF00071_14_179	2	G3D,GNP
P51159_PF00071_11_183	1	GNP
P51161_PF14651_1_128	6	6RQ,CHD,CHO,GCH,P33,TCH
