,strategy,pocket,PocketVec distance
27145,AF2-LIG,Q460N3_PF01661_322_424_pocket_0,0.2372
27146,AF2-PD,Q9ULW0_PF06886_660_735_fpocket_1,0.2372
27147,AF2-PD,P05160_PF00084_91_146_fpocket_1,0.2372
27148,AF2-LIG,P37173_PF07714_244_538_pocket_0,0.2372
27149,AF2-PD,P24557_PF00067_313_530_fpocket_15,0.2372
27150,AF2-PD,P0CG30_PF00043_86_199_fpocket_8,0.2372
27151,AF2-PD,Q9Y5F2_PF00028_575_663_fpocket_3,0.2372
27152,AF2-PD,Q8N239_PF00651_19_126_fpocket_4,0.2372
27153,AF2-PD,Q8NI35_PF00595_365_450_fpocket_3,0.2372
27154,PDB-PD,P68036_PF00179_6_144_fpocket_5,0.2372
27155,AF2-PD,Q9UHC6_PF02210_401_529_fpocket_11,0.2372
27156,PDB-LIG,P04150_PF00104_549_741_pocket_1,0.2372
27157,AF2-PD,O43422_PF05699_634_729_fpocket_1,0.2372
27158,AF2-PD,A6NCK2_PF15227_15_55_fpocket_2,0.2372
27159,AF2-PD,O43320_PF00167_61_187_fpocket_2,0.2372
27160,AF2-PD,O15068_PF13716_91_225_fpocket_1,0.2372
27161,AF2-PD,Q99962_PF03114_6_242_fpocket_3,0.2372
27162,PDB-PD,Q96MU8_PF01822_119_200_fpocket_1,0.2372
27163,AF2-PD,Q9BZW8_PF13895_136_216_fpocket_1,0.2372
27164,AF2-PD,P50452_PF00079_6_374_fpocket_8,0.2372
27165,AF2-LIG,Q99707_PF00809_375_613_pocket_0,0.2372
27166,AF2-PD,P46934_PF00397_894_923_fpocket_1,0.2372
27167,PDB-PD,A4D1E9_PF01018_16_143_fpocket_8,0.2372
27168,PDB-PD,Q5TA50_PF08718_27_177_fpocket_4,0.2372
27169,AF2-PD,Q95460_PF00129_23_198_fpocket_1,0.2372
27170,AF2-PD,Q9Y3L5_PF00071_5_166_fpocket_5,0.2372
27171,AF2-LIG,Q9NZL9_PF04321_29_324_pocket_1,0.2372
27172,AF2-PD,Q92752_PF00041_327_404_fpocket_1,0.2372
27173,AF2-PD,A6NKC9_PF00017_51_126_fpocket_1,0.2372
27174,AF2-PD,Q96LT4_PF00536_10_76_fpocket_2,0.2372
27175,AF2-PD,P49641_PF01074_167_497_fpocket_9,0.2372
27176,AF2-PD,Q6IQ32_PF19627_1_253_fpocket_14,0.2372
27177,AF2-PD,P09467_PF00316_12_199_fpocket_5,0.2372
27178,AF2-PD,Q6AZW8_PF00096_302_324_fpocket_1,0.2372
27179,AF2-PD,Q00975_PF08763_1792_1869_fpocket_2,0.2372
27180,PDB-PD,Q9BSW7_PF00168_199_312_fpocket_1,0.2372
27181,AF2-PD,Q15020_PF00076_706_775_fpocket_1,0.2372
27182,AF2-PD,Q14142_PF00643_21_61_fpocket_1,0.2372
27183,AF2-PD,P49411_PF00009_55_249_fpocket_1,0.2372
27184,AF2-PD,Q02790_PF00254_160_250_fpocket_1,0.2372
27185,PDB-PD,P16422_PF18635_29_61_fpocket_1,0.2372
27186,AF2-PD,O00762_PF00179_34_170_fpocket_2,0.2372
27187,AF2-PD,Q13009_PF00595_845_925_fpocket_3,0.2372
27188,AF2-PD,Q6P9A3_PF00096_304_326_fpocket_1,0.2372
27189,PDB-PD,O14745_PF00595_154_231_fpocket_1,0.2372
27190,AF2-PD,P31943_PF00076_291_358_fpocket_3,0.2372
27191,AF2-PD,O00425_PF00013_278_345_fpocket_1,0.2372
27192,AF2-PD,Q16849_PF00102_734_968_fpocket_2,0.2372
27193,PDB-PD,P35228_PF02898_135_497_fpocket_18,0.2372
27194,AF2-PD,P22612_PF00069_44_298_fpocket_4,0.2372
27195,AF2-PD,O94779_PF00041_672_760_fpocket_3,0.2372
27196,AF2-PD,P0DSN7_PF07686_28_115_fpocket_4,0.2372
27197,AF2-PD,P31948_PF17830_482_536_fpocket_2,0.2372
27198,PDB-PD,Q9NP99_PF07686_24_134_fpocket_3,0.2372
27199,AF2-PD,A6NFQ7_PF00046_17_73_fpocket_1,0.2372
27200,AF2-PD,Q96IV0_PF04721_457_651_fpocket_1,0.2372
27201,PDB-PD,Q8NCM8_PF12781_3251_3471_fpocket_6,0.2372
27202,AF2-PD,A1A4S6_PF00620_397_547_fpocket_5,0.2372
27203,PDB-PD,O96018_PF00595_486_558_fpocket_1,0.2372
27204,AF2-PD,Q04206_PF00554_21_186_fpocket_1,0.2372
27205,AF2-PD,Q8WXA9_PF00076_68_136_fpocket_1,0.2372
27206,AF2-PD,Q9P2B2_PF07686_282_391_fpocket_6,0.2372
27207,AF2-PD,P15328_PF03024_36_211_fpocket_1,0.2372
27208,AF2-PD,Q9UDR5_PF01262_348_458_fpocket_7,0.2372
27209,AF2-PD,Q9UN75_PF00028_578_670_fpocket_1,0.2372
27210,AF2-PD,O60242_PF16489_594_794_fpocket_8,0.2372
27211,PDB-PD,P12004_PF00705_1_125_fpocket_6,0.2372
27212,PDB-PD,P00338_PF02866_163_331_fpocket_1,0.2372
27213,AF2-PD,A0A578_PF07686_25_113_fpocket_2,0.2372
27214,AF2-PD,Q6UVK1_PF16184_1221_1339_fpocket_9,0.2372
27215,AF2-PD,O95625_PF00651_204_310_fpocket_4,0.2372
27216,AF2-PD,P28340_PF14260_1012_1082_fpocket_3,0.2372
27217,PDB-PD,Q9C035_PF00643_90_131_fpocket_1,0.2372
27218,AF2-PD,Q5GFL6_PF00092_51_221_fpocket_1,0.2372
27219,PDB-PD,Q9H251_PF00028_2407_2500_fpocket_1,0.2372
27220,PDB-LIG,P22234_PF00731_267_409_pocket_0,0.2372
27221,AF2-PD,Q6UXG8_PF07686_42_151_fpocket_3,0.2372
27222,AF2-PD,Q86X24_PF02301_26_220_fpocket_12,0.2372
27223,AF2-PD,P17017_PF13912_223_248_fpocket_2,0.2372
27224,PDB-PD,P12955_PF05195_23_144_fpocket_1,0.2372
27225,PDB-PD,Q92783_PF00018_216_261_fpocket_1,0.2372
27226,PDB-PD,Q8WZ42_PF07679_9672_9757_fpocket_2,0.2372
27227,AF2-PD,Q9H0K1_PF00069_20_271_fpocket_13,0.2372
27228,AF2-PD,Q96S38_PF00069_874_1056_fpocket_3,0.2372
27229,PDB-PD,P02749_PF00084_23_79_fpocket_1,0.2373
27230,PDB-PD,Q96PU5_PF00397_387_416_fpocket_1,0.2373
27231,AF2-PD,Q96MS0_PF00041_770_857_fpocket_1,0.2373
27232,AF2-PD,P26010_PF17205_43_92_fpocket_2,0.2373
27233,AF2-PD,Q9P2K5_PF00076_102_172_fpocket_1,0.2373
27234,PDB-PD,O95633_PF07648_120_167_fpocket_2,0.2373
27235,AF2-PD,Q9Y2P7_PF00096_267_289_fpocket_1,0.2373
27236,AF2-PD,P51523_PF00096_319_341_fpocket_1,0.2373
27237,PDB-PD,O00311_PF00069_357_482_fpocket_3,0.2373
27238,PDB-PD,P09874_PF02877_663_794_fpocket_8,0.2373
27239,PDB-PD,P36894_PF01064_59_134_fpocket_4,0.2373
27240,AF2-PD,Q9NSJ1_PF00096_100_122_fpocket_1,0.2373
27241,AF2-PD,Q6ZQN7_PF07648_502_547_fpocket_1,0.2373
27242,AF2-PD,Q9UGP5_PF10391_336_384_fpocket_1,0.2373
27243,AF2-PD,Q9H9Q2_PF01399_61_156_fpocket_1,0.2373
27244,PDB-PD,Q8TE76_PF13589_48_182_fpocket_5,0.2373
27245,AF2-PD,P0DTU3_PF09291_141_225_fpocket_3,0.2373
27246,AF2-PD,Q14914_PF00107_153_293_fpocket_1,0.2373
27247,AF2-PD,P07949_PF00028_172_262_fpocket_2,0.2373
27248,AF2-PD,Q9NYT0_PF00169_5_104_fpocket_5,0.2373
27249,PDB-PD,Q96SE7_PF00096_709_731_fpocket_1,0.2373
27250,AF2-PD,P0DPK3_PF00008_109_141_fpocket_1,0.2373
27251,PDB-PD,P08246_PF00089_30_242_fpocket_1,0.2373
27252,AF2-PD,O94808_PF01380_534_665_fpocket_3,0.2373
27253,AF2-PD,Q8WVV5_PF07686_38_147_fpocket_2,0.2373
27254,AF2-PD,Q8WVT3_PF14559_630_693_fpocket_5,0.2373
27255,PDB-PD,Q6ZRS2_PF00271_2043_2156_fpocket_2,0.2373
27256,AF2-PD,Q9BZV1_PF00789_332_410_fpocket_3,0.2373
27257,AF2-PD,O75147_PF13927_804_882_fpocket_1,0.2373
27258,AF2-PD,Q96L42_PF00027_570_654_fpocket_7,0.2373
27259,AF2-PD,Q99062_PF00041_528_612_fpocket_4,0.2373
27260,PDB-PD,P24723_PF00069_355_614_fpocket_8,0.2373
27261,AF2-PD,Q9H2X0_PF00093_51_125_fpocket_5,0.2373
27262,AF2-PD,Q9ULI0_PF00004_437_572_fpocket_9,0.2373
27263,AF2-PD,Q02447_PF00096_651_675_fpocket_1,0.2373
27264,AF2-PD,O94844_PF00651_475_583_fpocket_4,0.2373
27265,PDB-LIG,P17900_PF02221_33_190_pocket_1,0.2373
27266,AF2-PD,Q9Y5G1_PF00028_352_443_fpocket_2,0.2373
27267,AF2-PD,Q86UW6_PF13671_442_576_fpocket_12,0.2373
27268,AF2-PD,Q9NU39_PF00250_106_192_fpocket_1,0.2373
27269,AF2-PD,Q9NTZ6_PF00076_858_928_fpocket_2,0.2373
27270,AF2-PD,Q96MT1_PF13705_8_506_fpocket_34,0.2373
27271,AF2-LIG,Q8IU60_PF00293_95_221_pocket_0,0.2373
27272,AF2-PD,Q9Y535_PF08292_83_201_fpocket_5,0.2373
27273,AF2-PD,Q8N5A5_PF18044_178_199_fpocket_2,0.2373
27274,PDB-PD,O14862_PF02758_8_79_fpocket_2,0.2373
27275,AF2-PD,A0A075B767_PF00160_7_163_fpocket_3,0.2373
27276,AF2-PD,Q8NEM8_PF00246_318_559_fpocket_2,0.2373
27277,AF2-PD,Q15811_PF00621_1241_1421_fpocket_1,0.2373
27278,PDB-PD,Q04206_PF16179_195_292_fpocket_5,0.2373
27279,AF2-PD,Q96M93_PF00035_97_162_fpocket_3,0.2373
27280,PDB-LIG,P04070_PF00089_212_445_pocket_0,0.2373
27281,AF2-PD,P61978_PF00013_389_453_fpocket_2,0.2373
27282,AF2-PD,P35869_PF00989_113_227_fpocket_6,0.2373
27283,PDB-PD,P22314_PF16190_227_296_fpocket_2,0.2373
27284,AF2-PD,Q7Z404_PF07810_475_585_fpocket_2,0.2373
27285,AF2-PD,Q6XUX3_PF07714_653_906_fpocket_10,0.2373
27286,AF2-PD,P54803_PF17387_357_473_fpocket_6,0.2373
27287,AF2-PD,Q9NQY0_PF03114_10_225_fpocket_17,0.2373
27288,PDB-PD,Q99496_PF13923_50_90_fpocket_3,0.2373
27289,PDB-LIG,P51452_PF00782_37_176_pocket_0,0.2373
27290,AF2-PD,Q86YR7_PF13716_60_194_fpocket_1,0.2373
27291,PDB-PD,Q6P1N9_PF01026_7_294_fpocket_8,0.2373
27292,AF2-PD,Q8TE67_PF08416_28_157_fpocket_4,0.2373
27293,AF2-PD,Q8N1G0_PF00096_993_1016_fpocket_1,0.2373
27294,AF2-PD,O43506_PF00200_416_488_fpocket_2,0.2373
27295,AF2-PD,Q9Y3B2_PF14382_7_44_fpocket_1,0.2373
27296,AF2-PD,P43403_PF00017_10_87_fpocket_3,0.2373
27297,PDB-PD,P12319_PF13927_29_96_fpocket_1,0.2373
27298,AF2-PD,P02462_PF01413_1556_1667_fpocket_4,0.2373
27299,PDB-PD,P52333_PF07714_822_1095_fpocket_18,0.2373
27300,AF2-PD,P27708_PF01979_1462_1553_fpocket_3,0.2373
27301,AF2-PD,Q9UH73_PF01833_262_344_fpocket_4,0.2373
27302,PDB-PD,P39086_PF10613_447_561_fpocket_2,0.2373
27303,AF2-PD,Q86SJ6_PF00028_162_260_fpocket_1,0.2373
27304,AF2-PD,O95932_PF00927_495_600_fpocket_6,0.2373
27305,AF2-PD,Q9HCK4_PF13927_30_114_fpocket_1,0.2373
27306,AF2-PD,Q8IZU9_PF07679_335_416_fpocket_1,0.2373
27307,AF2-PD,O60551_PF01233_139_296_fpocket_15,0.2373
27308,PDB-PD,P20273_PF08205_143_230_fpocket_1,0.2373
27309,AF2-PD,P43626_PF00047_32_115_fpocket_1,0.2373
27310,AF2-PD,P27918_PF00090_319_376_fpocket_6,0.2373
27311,AF2-PD,P23921_PF03477_1_89_fpocket_1,0.2373
27312,AF2-PD,Q8NE01_PF00571_382_446_fpocket_3,0.2373
27313,AF2-PD,Q5W188_PF00031_36_131_fpocket_1,0.2373
27314,PDB-PD,P20023_PF00084_23_82_fpocket_1,0.2373
27315,PDB-PD,Q9NZL3_PF00096_316_338_fpocket_1,0.2373
27316,AF2-PD,Q8N7K0_PF13894_310_333_fpocket_2,0.2373
27317,AF2-PD,O95716_PF00071_24_185_fpocket_10,0.2373
27318,AF2-PD,Q9Y5F8_PF00028_577_663_fpocket_4,0.2373
27319,AF2-PD,A0A1W2PQ73_PF00178_43_122_fpocket_6,0.2373
27320,PDB-LIG,P00918_PF00194_11_259_pocket_1,0.2373
27321,AF2-PD,Q8WV41_PF10456_337_572_fpocket_2,0.2373
27322,AF2-PD,Q9UQG0_PF06817_252_317_fpocket_3,0.2373
27323,AF2-PD,P17097_PF00096_662_684_fpocket_1,0.2373
27324,AF2-PD,Q9HCK4_PF07679_225_310_fpocket_2,0.2373
27325,AF2-PD,Q9HB65_PF07303_291_392_fpocket_3,0.2373
27326,AF2-PD,Q9BWF3_PF00076_4_66_fpocket_2,0.2373
27327,PDB-LIG,P05771_PF00069_342_600_pocket_0,0.2373
27328,AF2-PD,P06729_PF07686_28_127_fpocket_1,0.2373
27329,AF2-PD,P35030_PF00089_81_296_fpocket_2,0.2373
27330,AF2-PD,Q5JQF8_PF00076_4_74_fpocket_1,0.2373
27331,PDB-PD,Q9NYB0_PF08914_132_196_fpocket_1,0.2374
27332,PDB-PD,P98160_PF02210_4234_4364_fpocket_4,0.2374
27333,PDB-PD,P45954_PF00441_280_428_fpocket_10,0.2374
27334,AF2-PD,Q9UBV8_PF13405_185_218_fpocket_4,0.2374
27335,AF2-LIG,P19367_PF03727_673_907_pocket_0,0.2374
27336,AF2-PD,Q5H8C1_PF16184_1009_1128_fpocket_4,0.2374
27337,AF2-PD,Q96SZ4_PF00096_579_601_fpocket_1,0.2374
27338,PDB-PD,P21860_PF14843_499_630_fpocket_4,0.2374
27339,PDB-PD,Q9UHW9_PF00324_190_384_fpocket_18,0.2374
27340,AF2-PD,Q9NXD2_PF06602_326_512_fpocket_3,0.2374
27341,PDB-PD,Q9NVP1_PF00270_203_374_fpocket_1,0.2374
27342,AF2-PD,Q9BZA8_PF00028_503_593_fpocket_2,0.2374
27343,AF2-PD,Q8TD84_PF07679_226_311_fpocket_2,0.2374
27344,AF2-PD,Q86SR1_PF00652_459_587_fpocket_3,0.2374
27345,AF2-PD,P46459_PF00004_539_669_fpocket_2,0.2374
27346,AF2-PD,Q8N4B1_PF00169_18_113_fpocket_6,0.2374
27347,AF2-LIG,O14792_PF00685_54_298_pocket_0,0.2374
27348,PDB-PD,P20809_PF07400_26_199_fpocket_4,0.2374
27349,AF2-LIG,P11511_PF00067_46_488_pocket_0,0.2374
27350,AF2-PD,A0PJY2_PF00096_260_282_fpocket_1,0.2374
27351,PDB-PD,Q01130_PF00076_16_86_fpocket_1,0.2374
27352,AF2-PD,Q8N9F8_PF00096_468_490_fpocket_1,0.2374
27353,AF2-PD,Q8NEV1_PF00069_39_324_fpocket_1,0.2374
27354,PDB-PD,Q58EX2_PF00041_896_980_fpocket_1,0.2374
27355,PDB-PD,O60486_PF01833_663_750_fpocket_1,0.2374
27356,PDB-LIG,P13995_PF02882_158_332_pocket_1,0.2374
27357,PDB-PD,O43559_PF02174_16_109_fpocket_1,0.2374
27358,AF2-PD,Q8TD17_PF00096_399_420_fpocket_1,0.2374
27359,AF2-PD,P49641_PF07748_765_970_fpocket_6,0.2374
27360,AF2-PD,Q92823_PF13927_361_436_fpocket_1,0.2374
27361,AF2-PD,Q9Y6W3_PF04212_87_152_fpocket_2,0.2374
27362,PDB-PD,Q9BQQ3_PF04495_1_94_fpocket_1,0.2374
27363,PDB-PD,O60449_PF00059_969_1091_fpocket_5,0.2374
27364,AF2-PD,A6NMT0_PF00046_183_238_fpocket_4,0.2374
27365,PDB-PD,P04275_PF00092_1691_1862_fpocket_9,0.2374
27366,AF2-PD,Q5K651_PF07647_11_66_fpocket_1,0.2374
27367,AF2-PD,Q96QT6_PF00628_273_319_fpocket_1,0.2374
27368,AF2-PD,O60486_PF01833_754_840_fpocket_2,0.2374
27369,PDB-LIG,P51857_PF00248_20_304_pocket_0,0.2374
27370,PDB-PD,Q9ULZ3_PF00619_112_195_fpocket_2,0.2374
27371,AF2-PD,Q8NCK3_PF00096_130_152_fpocket_1,0.2374
27372,AF2-PD,P18065_PF00219_42_111_fpocket_1,0.2374
27373,PDB-PD,Q15599_PF00595_151_228_fpocket_1,0.2374
27374,PDB-PD,P26998_PF00030_25_107_fpocket_1,0.2374
27375,AF2-PD,Q9H252_PF13426_29_134_fpocket_6,0.2374
27376,AF2-PD,Q49B96_PF06747_30_64_fpocket_2,0.2374
27377,PDB-PD,Q7Z628_PF00169_375_501_fpocket_7,0.2374
27378,AF2-PD,A8MTJ3_PF00503_10_343_fpocket_14,0.2374
27379,PDB-PD,Q9BW62_PF09336_439_488_fpocket_2,0.2374
27380,PDB-PD,Q9Y5G1_PF08266_32_112_fpocket_3,0.2374
27381,AF2-PD,Q9H1U4_PF00053_204_251_fpocket_2,0.2374
27382,AF2-PD,Q8WVD3_PF18574_80_112_fpocket_2,0.2374
27383,AF2-PD,Q9NT62_PF03987_38_308_fpocket_2,0.2374
27384,PDB-PD,P27986_PF00620_129_277_fpocket_5,0.2374
27385,AF2-LIG,Q460N5_PF01661_1032_1148_pocket_1,0.2374
27386,AF2-PD,P28358_PF00046_267_323_fpocket_6,0.2374
27387,PDB-PD,O43187_PF00531_13_94_fpocket_7,0.2374
27388,PDB-PD,O14646_PF00385_389_443_fpocket_1,0.2374
27389,PDB-PD,Q9NZI2_PF13499_135_211_fpocket_4,0.2374
27390,AF2-PD,Q9P1Z0_PF00651_20_77_fpocket_1,0.2374
27391,AF2-PD,P05107_PF07965_622_699_fpocket_2,0.2374
27392,PDB-PD,Q14192_PF00412_221_278_fpocket_2,0.2374
27393,AF2-PD,Q01581_PF01154_13_186_fpocket_1,0.2374
27394,PDB-PD,P0C0S8_PF00125_2_91_fpocket_1,0.2374
27395,AF2-PD,O14733_PF00069_120_380_fpocket_3,0.2374
27396,AF2-PD,O60687_PF00084_264_319_fpocket_3,0.2374
27397,AF2-PD,Q15063_PF02469_507_630_fpocket_1,0.2374
27398,PDB-PD,P54760_PF00041_435_519_fpocket_2,0.2374
27399,AF2-PD,P35590_PF00041_548_632_fpocket_6,0.2374
27400,AF2-PD,P62993_PF00018_162_207_fpocket_2,0.2374
27401,AF2-PD,Q86U86_PF01426_956_1074_fpocket_5,0.2374
27402,PDB-PD,P22392_PF00334_5_139_fpocket_3,0.2374
27403,PDB-PD,Q04721_PF00066_1463_1497_fpocket_1,0.2374
27404,AF2-PD,P50895_PF13895_365_442_fpocket_3,0.2374
27405,PDB-PD,Q16630_PF00076_83_154_fpocket_1,0.2374
27406,AF2-PD,Q9BXT8_PF00567_1409_1550_fpocket_12,0.2374
27407,AF2-PD,O60674_PF18379_39_134_fpocket_2,0.2374
27408,AF2-PD,Q5VX71_PF00084_122_177_fpocket_2,0.2374
27409,PDB-PD,Q16643_PF00241_13_132_fpocket_4,0.2374
27410,AF2-PD,O60469_PF00041_986_1076_fpocket_1,0.2374
27411,AF2-PD,Q9UN36_PF03096_40_318_fpocket_3,0.2374
27412,PDB-PD,O75970_PF00595_1862_1945_fpocket_4,0.2374
27413,AF2-PD,P60983_PF00241_14_137_fpocket_2,0.2374
27414,AF2-PD,Q14324_PF07679_548_635_fpocket_1,0.2374
27415,AF2-PD,Q14324_PF07679_439_524_fpocket_3,0.2374
27416,PDB-PD,P30793_PF01227_71_249_fpocket_4,0.2374
27417,PDB-PD,Q8WWM9_PF00042_43_162_fpocket_8,0.2374
27418,PDB-PD,Q14192_PF00412_221_278_fpocket_1,0.2374
27419,AF2-PD,O00154_PF03061_68_151_fpocket_3,0.2374
27420,AF2-PD,O95198_PF00651_46_153_fpocket_3,0.2374
27421,AF2-PD,P24462_PF00067_38_493_fpocket_3,0.2374
27422,AF2-PD,Q96JY6_PF00595_3_81_fpocket_3,0.2374
27423,AF2-PD,Q8WXD9_PF07653_285_343_fpocket_1,0.2374
27424,AF2-PD,Q9H0H5_PF00620_363_509_fpocket_13,0.2374
27425,AF2-PD,P14543_PF12662_784_805_fpocket_1,0.2374
27426,PDB-PD,Q9Y2Y1_PF02150_2_37_fpocket_3,0.2374
27427,AF2-PD,Q5IJ48_PF00008_1060_1090_fpocket_1,0.2374
27428,PDB-PD,Q6P179_PF01433_298_541_fpocket_1,0.2375
27429,AF2-LIG,P14555_PF00068_22_130_pocket_0,0.2375
27430,AF2-PD,Q12774_PF00621_1178_1356_fpocket_8,0.2375
27431,AF2-PD,Q9Y3B7_PF00298_83_155_fpocket_1,0.2375
27432,PDB-LIG,P02768_PF00273_414_592_pocket_0,0.2375
27433,AF2-PD,Q9Y5I3_PF00028_138_233_fpocket_4,0.2375
27434,AF2-PD,Q9H426_PF00168_128_235_fpocket_4,0.2375
27435,PDB-PD,Q13976_PF00027_121_204_fpocket_1,0.2375
27436,AF2-PD,Q9HC10_PF00168_1492_1596_fpocket_8,0.2375
27437,AF2-PD,Q9NS40_PF13426_29_134_fpocket_3,0.2375
27438,PDB-PD,Q14449_PF00169_235_342_fpocket_2,0.2375
27439,AF2-PD,O95758_PF13893_329_454_fpocket_1,0.2375
27440,PDB-PD,Q9Y6K1_PF00855_293_377_fpocket_1,0.2375
27441,PDB-PD,P19320_PF07679_25_112_fpocket_3,0.2375
27442,PDB-PD,Q03591_PF00084_266_327_fpocket_2,0.2375
27443,AF2-PD,Q6ZNG0_PF00096_224_246_fpocket_1,0.2375
27444,PDB-PD,Q9Y4W6_PF01434_561_744_fpocket_4,0.2375
27445,AF2-PD,Q9NR16_PF00530_798_895_fpocket_3,0.2375
27446,AF2-PD,Q96HH9_PF02893_110_218_fpocket_6,0.2375
27447,PDB-PD,Q06187_PF00169_4_133_fpocket_7,0.2375
27448,AF2-PD,Q9NV66_PF00258_81_232_fpocket_1,0.2375
27449,PDB-PD,O75369_PF00630_1514_1605_fpocket_3,0.2375
27450,PDB-PD,P06396_PF00626_574_642_fpocket_2,0.2375
27451,PDB-PD,Q86UX7_PF00373_258_558_fpocket_17,0.2375
27452,AF2-PD,Q8TE54_PF01740_493_637_fpocket_5,0.2375
27453,AF2-PD,Q6ZV73_PF00169_1334_1428_fpocket_7,0.2375
27454,AF2-PD,Q6P9H4_PF10534_80_172_fpocket_5,0.2375
27455,PDB-PD,P16233_PF01477_357_463_fpocket_4,0.2375
27456,AF2-PD,Q9NTU7_PF00386_72_198_fpocket_2,0.2375
27457,AF2-PD,P35249_PF08542_269_354_fpocket_1,0.2375
27458,AF2-PD,O95409_PF00096_363_387_fpocket_2,0.2375
27459,AF2-PD,O60506_PF00076_164_232_fpocket_2,0.2375
27460,AF2-PD,Q9Y5X4_PF00104_205_395_fpocket_3,0.2375
27461,AF2-PD,Q01082_PF00435_638_742_fpocket_1,0.2375
27462,AF2-PD,P38606_PF00006_230_455_fpocket_1,0.2375
27463,PDB-PD,O75319_PF00782_124_249_fpocket_4,0.2375
27464,PDB-LIG,Q8IZX4_PF00439_1530_1614_pocket_0,0.2375
27465,AF2-PD,P52179_PF00041_1040_1127_fpocket_2,0.2375
27466,AF2-PD,O75899_PF00003_475_743_fpocket_12,0.2375
27467,AF2-PD,Q9Y5H8_PF00028_138_233_fpocket_1,0.2375
27468,AF2-PD,P36888_PF00047_255_345_fpocket_1,0.2375
27469,PDB-PD,P19883_PF07648_191_239_fpocket_2,0.2375
27470,AF2-PD,Q9P283_PF00090_857_907_fpocket_1,0.2375
27471,AF2-PD,Q96T66_PF01467_10_208_fpocket_15,0.2375
27472,AF2-PD,P05813_PF00030_32_116_fpocket_2,0.2375
27473,PDB-PD,Q9C026_PF00041_441_525_fpocket_3,0.2375
27474,AF2-PD,Q5VYS8_PF19088_965_1122_fpocket_9,0.2375
27475,AF2-PD,Q5JVL4_PF06565_232_351_fpocket_1,0.2375
27476,AF2-PD,Q4V339_PF07683_274_377_fpocket_1,0.2375
27477,AF2-PD,P55786_PF17900_59_245_fpocket_1,0.2375
27478,PDB-PD,P23921_PF00317_141_213_fpocket_4,0.2375
27479,AF2-PD,P57052_PF00076_12_81_fpocket_2,0.2375
27480,AF2-PD,Q9BX40_PF12701_8_82_fpocket_6,0.2375
27481,PDB-PD,P62888_PF01248_12_106_fpocket_2,0.2375
27482,AF2-PD,Q99683_PF19039_555_654_fpocket_7,0.2375
27483,PDB-LIG,Q13126_PF01048_11_256_pocket_0,0.2375
27484,AF2-PD,A0A087WW87_PF07686_26_120_fpocket_1,0.2375
27485,PDB-PD,P52630_PF02864_320_456_fpocket_3,0.2375
27486,AF2-PD,Q99650_PF00041_525_609_fpocket_5,0.2375
27487,AF2-PD,Q03112_PF00096_969_991_fpocket_1,0.2375
27488,AF2-PD,Q4G1C9_PF00188_58_192_fpocket_1,0.2375
27489,PDB-PD,Q9HB75_PF00531_790_873_fpocket_2,0.2375
27490,AF2-PD,P09874_PF05406_553_633_fpocket_1,0.2375
27491,AF2-PD,Q02246_PF13927_238_310_fpocket_3,0.2375
27492,PDB-PD,P00736_PF00089_464_697_fpocket_1,0.2375
27493,AF2-PD,Q8N9K5_PF00096_319_341_fpocket_1,0.2375
27494,AF2-PD,Q9BY67_PF08205_148_230_fpocket_3,0.2375
27495,AF2-PD,O15067_PF18076_39_160_fpocket_1,0.2375
27496,AF2-PD,C9J798_PF00169_567_672_fpocket_2,0.2375
27497,PDB-PD,O95999_PF00619_18_102_fpocket_4,0.2375
27498,AF2-PD,Q9UKG1_PF00640_502_633_fpocket_6,0.2375
27499,AF2-PD,Q8N3D4_PF10358_12_164_fpocket_2,0.2375
27500,AF2-PD,P14410_PF16863_125_235_fpocket_12,0.2375
27501,PDB-PD,P43166_PF00194_13_262_fpocket_9,0.2375
27502,AF2-PD,A6NJL1_PF02023_40_127_fpocket_4,0.2375
27503,PDB-PD,P46063_PF16124_420_479_fpocket_5,0.2375
27504,PDB-PD,Q8WXE0_PF00536_487_550_fpocket_3,0.2375
27505,AF2-PD,P09471_PF00503_13_343_fpocket_3,0.2375
27506,AF2-PD,Q8N3Y3_PF13896_482_695_fpocket_1,0.2375
27507,AF2-PD,P56851_PF00074_28_142_fpocket_2,0.2375
27508,PDB-PD,P83111_PF00144_277_538_fpocket_18,0.2375
27509,AF2-PD,P12814_PF00435_630_733_fpocket_1,0.2375
27510,AF2-PD,Q9ULB1_PF02210_746_877_fpocket_5,0.2375
27511,AF2-PD,Q9UK11_PF00096_260_282_fpocket_1,0.2375
27512,AF2-PD,Q15427_PF00076_102_173_fpocket_1,0.2375
27513,AF2-PD,Q5JS13_PF00169_432_543_fpocket_2,0.2375
27514,PDB-PD,P23435_PF00386_63_190_fpocket_3,0.2375
27515,AF2-PD,Q8N1W2_PF00096_323_345_fpocket_1,0.2375
27516,PDB-PD,P02787_PF00405_25_347_fpocket_1,0.2376
27517,AF2-PD,Q13011_PF00378_62_322_fpocket_1,0.2376
27518,PDB-PD,Q15771_PF00071_11_172_fpocket_1,0.2376
27519,PDB-PD,P29375_PF02373_470_586_fpocket_2,0.2376
27520,PDB-PD,Q9NZM3_PF00018_1059_1109_fpocket_1,0.2376
27521,AF2-LIG,P05108_PF00067_52_511_pocket_0,0.2376
