	domain	reference	fpocket	drug score	prank rescore	buriedness
8055	Q08334_PF09294_111_213	3LQM_A	fpocket3	0.101	1.5478	16
8056	Q08345_PF00754_46_182	4AG4_A	fpocket2	0.114	8.4001	14
8057	Q08345_PF00754_46_182	4AG4_A	fpocket1	0.003	4.904	18
8058	Q08345_PF07714_610_905	7BE6_A	fpocket18	0.035	31.9042	15
8059	Q08345_PF07714_610_905	7BE6_A	fpocket13	0.009	8.5883	17
8060	Q08380_PF00530_27_124	1BY2_A	fpocket3	0.298	2.548	22
8061	Q08380_PF00530_27_124	1BY2_A	fpocket2	0.07	2.2502	23
8062	Q08493_PF00233_387_627	2QYM_A	fpocket5	0.001	23.2409	16
8063	Q08493_PF00233_387_627	2QYM_A	fpocket16	0.004	18.1636	19
8064	Q08495_PF02209_370_405	1QZP_A	fpocket2	0.111	3.6989	14
8065	Q08495_PF02209_370_405	1QZP_A	fpocket1	0.0	0.181	10
8066	Q08499_PF00233_461_701	1Y2K_A	fpocket2	0.964	59.368	21
8067	Q08499_PF00233_461_701	1Y2K_A	fpocket19	0.001	14.1937	18
8068	Q08554_PF00028_139_233	5IRY_A	fpocket1	0.477	2.555	17
8069	Q08554_PF00028_247_345	5IRY_A	fpocket3	0.002	4.9028	16
8070	Q08554_PF00028_247_345	5IRY_A	fpocket2	0.252	4.8862	22
8071	Q08554_PF00028_359_463	5IRY_A	fpocket2	0.004	14.6291	20
8072	Q08554_PF00028_359_463	5IRY_A	fpocket9	0.0	10.9871	15
8073	Q08554_PF00028_476_568	5IRY_A	fpocket4	0.309	5.9323	15
8074	Q08554_PF00028_476_568	5IRY_A	fpocket8	0.001	2.8526	11
8075	Q08722_PF08204_8_142	2JJS_C	fpocket3	0.0	1.9481	13
8076	Q08722_PF08204_8_142	2JJS_C	fpocket2	0.054	1.5224	13
8077	Q08881_PF00018_177_223	2LMJ_A	fpocket3	0.352	3.358	13
8078	Q08881_PF00018_177_223	2LMJ_A	fpocket1	0.027	2.6497	20
8079	Q08881_PF07714_363_612	4HCU_A	fpocket10	0.563	43.5837	19
8080	Q08881_PF07714_363_612	4HCU_A	fpocket3	0.788	23.3432	17
8081	Q08945_PF00505_547_615	6L34_A	fpocket2	0.002	2.7796	12
8082	Q08945_PF00505_547_615	6L34_A	fpocket3	0.053	1.4312	11
8083	Q08945_PF03531_106_170	6UPK_H	fpocket3	0.486	20.6905	17
8084	Q08945_PF03531_106_170	6UPK_H	fpocket2	0.946	17.0337	21
8085	Q08945_PF08512_339_427	5UMS_A	fpocket2	0.099	4.6866	11
8086	Q08945_PF08512_339_427	5UMS_A	fpocket3	0.119	1.447	14
8087	Q08945_PF17292_5_99	5UMR_A	fpocket1	0.0	2.5328	8
8088	Q08945_PF17292_5_99	5UMR_A	fpocket3	0.015	2.0801	17
8089	Q08AE8_PF16474_40_236	2YLE_A	fpocket1	0.427	4.6687	18
8090	Q08AE8_PF16474_40_236	2YLE_A	fpocket8	0.051	4.1833	15
8091	Q08AF3_PF04326_191_321	7Q3Z_A	fpocket2	0.034	5.2126	16
8092	Q08AF3_PF04326_191_321	7Q3Z_A	fpocket11	0.0	2.89	17
8093	Q08AH3_PF13193_477_557	3C5E_A	fpocket4	0.0	1.7402	12
8094	Q08AH3_PF13193_477_557	3C5E_A	fpocket1	0.454	1.4987	14
8095	Q09013_PF00069_71_339	2VD5_A	fpocket18	0.001	32.0496	20
8096	Q09013_PF00069_71_339	2VD5_A	fpocket1	0.351	28.9087	17
8097	Q09428_PF00005_1361_1509	7S5V_E	fpocket13	0.128	29.0499	19
8098	Q09428_PF00005_1361_1509	7S5V_E	fpocket12	0.008	10.9935	15
8099	Q09428_PF00005_696_857	7S5V_E	fpocket8	0.0	41.2036	21
8100	Q09428_PF00005_696_857	7S5V_E	fpocket6	0.001	5.0286	15
8101	Q09472_PF00439_1058_1144	5BT3_A	fpocket1	0.713	8.6757	16
8102	Q09472_PF00439_1058_1144	5BT3_A	fpocket3	0.005	8.044	26
8103	Q09472_PF06001_1156_1195	5LKX_A	fpocket1	0.001	1.8754	11
8104	Q0Z7S8_PF00061_6_132	4A60_A	fpocket4	0.03	35.3238	20
8105	Q0Z7S8_PF00061_6_132	4A60_A	fpocket1	0.003	30.6601	23
8106	Q10471_PF00652_446_563	5AJO_A	fpocket10	0.008	7.9295	13
8107	Q10471_PF00652_446_563	5AJO_A	fpocket2	0.001	5.893	10
8108	Q10570_PF10433_92_685	6F9N_A	fpocket7	0.173	11.3488	14
8109	Q10570_PF10433_92_685	6F9N_A	fpocket2	0.859	7.5013	19
8110	Q10588_PF02267_40_280	1ISI_A	fpocket2	0.778	33.8693	19
8111	Q10588_PF02267_40_280	1ISI_A	fpocket6	0.005	6.4749	15
8112	Q10589_PF16716_49_136	3NWH_A	fpocket2	0.0	0.9017	10
8113	Q10589_PF16716_49_136	3NWH_A	fpocket1	0.212	0.8189	10
8114	Q12778_PF00250_160_248	3CO6_C	fpocket2	0.001	1.8386	9
8115	Q12778_PF00250_160_248	3CO6_C	fpocket3	0.139	1.8102	14
8116	Q12792_PF00241_184_311	7CCC_B	fpocket4	0.505	6.38	20
8117	Q12792_PF00241_184_311	7CCC_B	fpocket5	0.002	1.8281	14
8118	Q12792_PF00241_9_136	7CCC_B	fpocket1	0.022	2.5061	15
8119	Q12792_PF00241_9_136	7CCC_B	fpocket3	0.001	1.2643	9
8120	Q12794_PF01630_25_355	2PE4_A	fpocket3	0.283	19.0401	20
8121	Q12794_PF01630_25_355	2PE4_A	fpocket12	0.036	13.1045	16
8122	Q12797_PF05118_591_745	6YYX_A	fpocket1	0.101	32.405	24
8123	Q12797_PF05118_591_745	6YYX_A	fpocket7	0.004	4.2785	11
8124	Q12802_PF00169_2216_2333	6BCA_A	fpocket1	0.011	13.65	22
8125	Q12802_PF00169_2216_2333	6BCA_A	fpocket4	0.002	8.3748	15
8126	Q12802_PF00621_1998_2189	4D0N_B	fpocket10	0.002	5.183	15
8127	Q12802_PF00621_1998_2189	4D0N_B	fpocket1	0.807	4.3753	12
8128	Q12809_PF00027_760_845	5VA1_A	fpocket2	0.333	6.4557	22
8129	Q12809_PF00027_760_845	5VA1_A	fpocket1	0.279	2.4665	11
8130	Q12809_PF13426_29_132	4HQA_A	fpocket1	0.001	4.4929	19
8131	Q12809_PF13426_29_132	4HQA_A	fpocket3	0.0	2.5968	17
8132	Q12830_PF00439_2936_3019	5R4O_A	fpocket2	0.751	16.4731	21
8133	Q12830_PF00439_2936_3019	5R4O_A	fpocket3	0.562	7.4855	17
8134	Q12830_PF00628_2869_2918	2RI7_A	fpocket2	0.001	4.4323	17
8135	Q12830_PF00628_2869_2918	2RI7_A	fpocket4	0.069	4.2392	12
8136	Q12852_PF07714_126_364	5CEN_A	fpocket1	0.322	21.3221	27
8137	Q12852_PF07714_126_364	5CEN_A	fpocket4	0.001	21.2011	19
8138	Q12860_PF00041_810_893	2EE2_A	fpocket3	0.109	3.9473	15
8139	Q12860_PF00041_810_893	2EE2_A	fpocket5	0.0	3.4809	10
8140	Q12860_PF07679_242_327	3S97_C	fpocket6	0.0	3.0653	12
8141	Q12860_PF07679_242_327	3S97_C	fpocket3	0.0	1.6807	15
8142	Q12864_PF00028_131_235	7EV1_A	fpocket5	0.002	5.29	19
8143	Q12864_PF00028_131_235	7EV1_A	fpocket1	0.179	3.413	20
8144	Q12864_PF00028_243_331	7CYM_A	fpocket1	0.387	5.7393	18
8145	Q12864_PF00028_243_331	7CYM_A	fpocket5	0.001	0.828	14
8146	Q12864_PF00028_345_440	7CYM_A	fpocket2	0.117	2.896	18
8147	Q12864_PF00028_345_440	7CYM_A	fpocket3	0.25	2.6089	15
8148	Q12866_PF07714_587_854	7AAZ_A	fpocket1	0.997	43.8318	22
8149	Q12866_PF07714_587_854	7AAZ_A	fpocket9	0.012	7.448	14
8150	Q12874_PF13297_224_303	6AH0_w	fpocket3	0.628	2.8433	16
8151	Q12874_PF13297_224_303	6AH0_w	fpocket5	0.513	2.4896	13
8152	Q12879_PF10613_404_541	5H8F_A	fpocket4	0.2	11.502	23
8153	Q12879_PF10613_404_541	5H8F_A	fpocket1	0.0	3.1351	15
8154	Q12884_PF00326_553_759	6Y0F_B	fpocket1	0.014	28.865	20
8155	Q12884_PF00326_553_759	6Y0F_B	fpocket3	0.005	13.0729	17
8156	Q12888_PF09038_1483_1604	2G3R_A	fpocket1	0.113	9.6137	15
8157	Q12888_PF09038_1483_1604	2G3R_A	fpocket4	0.0	4.4333	16
8158	Q12888_PF18428_1867_1970	1KZY_C	fpocket1	0.291	2.2809	19
8159	Q12888_PF18428_1867_1970	1KZY_C	fpocket5	0.0	2.0442	12
8160	Q12904_PF01588_157_250	1FL0_A	fpocket4	0.128	5.8382	18
8161	Q12904_PF01588_157_250	1FL0_A	fpocket3	0.428	2.2566	18
8162	Q12906_PF00035_526_588	3P1X_A	fpocket1	0.011	3.0424	12
8163	Q12906_PF00035_526_588	3P1X_A	fpocket3	0.001	2.6875	12
8164	Q12913_PF00041_368_445	2DLE_A	fpocket2	0.069	4.8982	18
8165	Q12913_PF00041_368_445	2DLE_A	fpocket1	0.43	3.4649	18
8166	Q12913_PF00102_1065_1297	2NZ6_A	fpocket2	0.158	12.8913	17
8167	Q12913_PF00102_1065_1297	2NZ6_A	fpocket1	0.597	9.8877	13
8168	Q12918_PF00059_111_212	5MGR_A	fpocket8	0.017	3.895	15
8169	Q12918_PF00059_111_212	5MGR_A	fpocket1	0.006	3.8612	15
8170	Q12923_PF00102_2237_2466	1WCH_A	fpocket6	0.011	9.5988	12
8171	Q12923_PF00102_2237_2466	1WCH_A	fpocket4	0.0	4.1498	10
8172	Q12923_PF00595_1093_1176	5GLJ_A	fpocket4	0.075	2.9386	14
8173	Q12923_PF00595_1093_1176	5GLJ_A	fpocket3	0.003	2.1462	21
8174	Q12923_PF00595_1368_1450	3LNY_A	fpocket1	0.043	6.6241	17
8175	Q12923_PF00595_1368_1450	3LNY_A	fpocket5	0.004	2.1546	17
8176	Q12931_PF02518_108_260	7C7B_A	fpocket4	0.962	36.0756	20
8177	Q12931_PF02518_108_260	7C7B_A	fpocket8	0.034	9.7811	13
8178	Q12933_PF00097_34_72	3KNV_A	fpocket1	0.47	7.0487	18
8179	Q12933_PF00097_34_72	3KNV_A	fpocket4	0.009	3.3963	12
8180	Q12955_PF00531_4091_4174	4O6X_A	fpocket1	0.335	2.2534	19
8181	Q12959_PF00595_224_308	3RL7_A	fpocket3	0.098	6.079	18
8182	Q12959_PF00595_224_308	3RL7_A	fpocket2	0.313	3.9967	13
8183	Q12959_PF00595_319_403	2X7Z_A	fpocket6	0.002	2.6084	12
8184	Q12959_PF00595_319_403	2X7Z_A	fpocket8	0.0	1.7669	15
8185	Q12959_PF00595_466_544	1PDR_A	fpocket4	0.001	3.8388	14
8186	Q12959_PF00595_466_544	1PDR_A	fpocket1	0.235	3.7285	18
8187	Q12959_PF00625_713_891	3W9Y_A	fpocket1	0.02	9.9471	14
8188	Q12959_PF00625_713_891	3W9Y_A	fpocket7	0.746	7.0313	16
8189	Q12967_PF00788_798_885	3KH0_A	fpocket1	0.469	1.2437	20
8190	Q12967_PF00788_798_885	3KH0_A	fpocket2	0.016	1.243	15
8191	Q12974_PF00102_10_149	6WUR_A	fpocket4	0.0	5.7139	15
8192	Q12974_PF00102_10_149	6WUR_A	fpocket8	0.003	3.6718	12
8193	Q12988_PF00011_64_150	6F2R_V	fpocket1	0.078	2.3979	14
8194	Q12988_PF00011_64_150	6F2R_V	fpocket4	0.021	2.3658	22
8195	Q13002_PF10613_431_546	3QXM_A	fpocket4	0.508	10.5404	20
8196	Q13002_PF10613_431_546	3QXM_A	fpocket1	0.009	3.478	11
8197	Q13009_PF00169_440_547	4K2P_A	fpocket1	0.027	12.1368	17
8198	Q13009_PF00169_440_547	4K2P_A	fpocket5	0.002	11.9479	9
8199	Q13009_PF00595_845_925	4GVC_A	fpocket1	0.0	6.2346	13
8200	Q13009_PF00595_845_925	4GVC_A	fpocket4	0.004	3.9628	13
8201	Q13009_PF18385_572_669	4K2O_A	fpocket10	0.257	6.9726	16
8202	Q13009_PF18385_572_669	4K2O_A	fpocket4	0.005	3.5113	11
8203	Q13011_PF00378_62_322	2VRE_A	fpocket5	0.935	25.6879	21
8204	Q13011_PF00378_62_322	2VRE_A	fpocket1	0.057	6.3019	16
8205	Q13017_PF00620_1275_1422	2EE4_A	fpocket4	0.105	4.4709	11
8206	Q13017_PF00620_1275_1422	2EE4_A	fpocket1	0.334	3.6934	13
8207	Q13018_PF00059_1131_1234	6JLI_A	fpocket2	0.001	7.0722	17
8208	Q13018_PF00059_1131_1234	6JLI_A	fpocket1	0.36	5.2012	14
8209	Q13043_PF00069_30_281	3COM_A	fpocket2	0.217	18.9394	18
8210	Q13043_PF00069_30_281	3COM_A	fpocket3	0.0	10.2328	16
8211	Q13049_PF13639_18_65	5FEY_B	fpocket1	0.237	3.3874	13
8212	Q13049_PF13639_18_65	5FEY_B	fpocket3	0.001	1.9285	12
8213	Q13075_PF00653_162_228	2VM5_A	fpocket1	0.252	8.0862	15
8214	Q13075_PF00653_162_228	2VM5_A	fpocket3	0.001	2.201	14
8215	Q13085_PF00289_117_237	2YL2_A	fpocket5	0.008	4.5736	15
8216	Q13085_PF00289_117_237	2YL2_A	fpocket4	0.014	4.1324	16
8217	Q13085_PF00364_752_818	6G2D_C	fpocket1	0.582	4.1197	26
8218	Q13085_PF00364_752_818	6G2D_C	fpocket6	0.315	2.7108	17
8219	Q13085_PF02786_272_473	2YL2_A	fpocket14	0.007	54.5651	17
8220	Q13085_PF02786_272_473	2YL2_A	fpocket12	0.443	6.7262	14
8221	Q13093_PF03403_48_416	3D59_A	fpocket2	0.938	36.7459	19
8222	Q13093_PF03403_48_416	3D59_A	fpocket19	0.001	11.7326	16
8223	Q13094_PF07647_12_76	2EAP_A	fpocket1	0.002	1.0193	11
8224	Q13094_PF07647_12_76	2EAP_A	fpocket2	0.119	0.7685	14
8225	Q13098_PF01399_324_428	4D10_A	fpocket8	0.082	8.668	13
8226	Q13098_PF01399_324_428	4D10_A	fpocket2	0.684	5.9806	15
8227	Q13105_PF00096_446_468	2M0E_A	fpocket2	0.574	7.4759	11
8228	Q13105_PF00096_446_468	2M0E_A	fpocket3	0.0	5.0543	14
8229	Q13105_PF00096_558_580	7MC1_A	fpocket1	0.263	6.6449	13
8230	Q13105_PF00096_614_637	7MC3_A	fpocket1	0.304	1.5159	12
8231	Q13105_PF00651_14_113	7AZW_B	fpocket1	0.101	2.7058	15
8232	Q13105_PF00651_14_113	7AZW_B	fpocket3	0.07	1.9698	17
8233	Q13107_PF06337_31_123	5CTR_C	fpocket5	0.001	2.2131	16
8234	Q13107_PF06337_31_123	5CTR_C	fpocket4	0.001	1.766	15
8235	Q13107_PF14836_139_226	5CTR_C	fpocket1	0.435	7.4499	23
8236	Q13107_PF14836_139_226	5CTR_C	fpocket3	0.003	3.3583	18
8237	Q13115_PF00782_203_333	3EZZ_F	fpocket6	0.001	6.8989	17
8238	Q13115_PF00782_203_333	3EZZ_F	fpocket4	0.066	4.3562	24
8239	Q13118_PF00096_399_423	2EPA_A	fpocket1	0.275	1.2125	10
8240	Q13118_PF00096_399_423	2EPA_A	fpocket2	0.0	0.8255	7
8241	Q13126_PF01048_11_256	5TC6_A	fpocket1	0.945	36.7577	25
8242	Q13126_PF01048_11_256	5TC6_A	fpocket12	0.005	4.0154	16
8243	Q13131_PF00069_27_279	6C9H_A	fpocket16	0.854	32.8432	23
8244	Q13131_PF00069_27_279	6C9H_A	fpocket10	0.012	8.0174	22
8245	Q13133_PF00104_244_431	5HJS_A	fpocket1	0.992	37.0345	23
8246	Q13133_PF00104_244_431	5HJS_A	fpocket9	0.001	13.5442	13
8247	Q13137_PF17751_23_125	5Z7L_A	fpocket5	0.043	4.8244	11
8248	Q13137_PF17751_23_125	5Z7L_A	fpocket3	0.004	3.9997	15
8249	Q13148_PF00076_106_172	4Y0F_A	fpocket3	0.06	5.2268	19
8250	Q13148_PF00076_106_172	4Y0F_A	fpocket5	0.001	2.6517	14
8251	Q13148_PF00076_193_243	1WF0_A	fpocket3	0.049	3.6614	17
8252	Q13148_PF00076_193_243	1WF0_A	fpocket2	0.228	2.5497	13
8253	Q13148_PF18694_4_77	5MDI_A	fpocket1	0.001	1.3002	13
8254	Q13148_PF18694_4_77	5MDI_A	fpocket2	0.003	0.3581	13
8255	Q13153_PF00069_270_521	3FXZ_A	fpocket2	0.351	10.1169	18
8256	Q13153_PF00069_270_521	3FXZ_A	fpocket8	0.015	9.4718	18
8257	Q13153_PF00786_74_132	1F3M_A	fpocket3	0.523	4.0768	15
8258	Q13153_PF00786_74_132	1F3M_A	fpocket1	0.0	3.9581	10
8259	Q13155_PF14497_245_317	5A1N_B	fpocket2	0.602	3.2736	17
8260	Q13155_PF14497_245_317	5A1N_B	fpocket4	0.013	2.6857	16
8261	Q13155_PF18569_117_208	5A5H_B	fpocket1	0.002	6.0809	17
8262	Q13155_PF18569_117_208	5A5H_B	fpocket5	0.084	2.8628	17
8263	Q13158_PF00531_98_181	6ACI_H	fpocket1	0.521	5.7565	16
8264	Q13158_PF00531_98_181	6ACI_H	fpocket3	0.031	2.1493	13
8265	Q13158_PF01335_4_85	2GF5_A	fpocket1	0.002	3.8462	16
8266	Q13158_PF01335_4_85	2GF5_A	fpocket5	0.001	2.4125	8
8267	Q13162_PF00578_81_214	2PN8_B	fpocket3	0.0	2.8052	18
8268	Q13162_PF00578_81_214	2PN8_B	fpocket5	0.19	1.5091	17
8269	Q13162_PF10417_234_263	2PN8_B	fpocket1	0.159	1.5784	13
8270	Q13164_PF00069_55_347	5BYZ_A	fpocket1	0.731	20.0339	23
8271	Q13164_PF00069_55_347	5BYZ_A	fpocket24	0.0	17.1611	15
8272	Q13185_PF00385_30_79	3TZD_A	fpocket1	0.197	5.7645	15
8273	Q13185_PF00385_30_79	3TZD_A	fpocket2	0.001	0.3527	14
8274	Q13185_PF01393_123_174	5T1I_A	fpocket1	0.385	1.6667	20
8275	Q13188_PF00069_27_278	4LG4_C	fpocket13	0.019	37.2734	20
8276	Q13188_PF00069_27_278	4LG4_C	fpocket2	0.012	11.1721	24
8277	Q13191_PF02262_41_167	3ZNI_A	fpocket2	0.008	3.833	14
8278	Q13191_PF02262_41_167	3ZNI_A	fpocket5	0.006	2.2497	13
8279	Q13191_PF02761_171_254	3ZNI_A	fpocket1	0.516	5.3789	14
8280	Q13191_PF02761_171_254	3ZNI_A	fpocket4	0.053	3.3084	16
8281	Q13191_PF02762_256_341	3ZNI_A	fpocket2	0.018	4.4763	14
8282	Q13191_PF02762_256_341	3ZNI_A	fpocket6	0.064	4.3236	13
8283	Q13200_PF17781_56_354	5L4K_Z	fpocket12	0.008	3.8869	20
8284	Q13200_PF17781_56_354	5L4K_Z	fpocket5	0.044	3.4618	19
8285	Q13200_PF18051_853_906	5L4K_Z	fpocket6	0.074	3.8919	11
8286	Q13200_PF18051_853_906	5L4K_Z	fpocket5	0.0	2.1341	17
8287	Q13202_PF00782_168_299	4JMK_A	fpocket2	0.0	4.392	22
8288	Q13202_PF00782_168_299	4JMK_A	fpocket1	0.484	3.7912	16
8289	Q13206_PF00270_93_263	2PL3_A	fpocket4	0.094	13.4252	16
8290	Q13206_PF00270_93_263	2PL3_A	fpocket10	0.0	6.6919	22
8291	Q13217_PF00226_394_459	2Y4T_C	fpocket1	0.347	2.9124	25
8292	Q13217_PF00226_394_459	2Y4T_C	fpocket2	0.014	2.8359	15
8293	Q13224_PF10613_404_542	7EU8_B	fpocket6	0.616	12.4122	16
8294	Q13224_PF10613_404_542	7EU8_B	fpocket5	0.016	4.0778	17
8295	Q13231_PF00704_23_363	4WKA_A	fpocket18	0.39	57.1442	17
8296	Q13231_PF00704_23_363	4WKA_A	fpocket12	0.041	14.5042	17
8297	Q13231_PF01607_420_466	5HBF_A	fpocket1	0.247	1.9454	16
8298	Q13232_PF00334_22_156	1ZS6_D	fpocket1	0.551	24.6896	18
8299	Q13232_PF00334_22_156	1ZS6_D	fpocket3	0.026	17.5855	19
8300	Q13237_PF00027_186_269	5C8W_F	fpocket1	0.452	13.5434	21
8301	Q13237_PF00027_186_269	5C8W_F	fpocket2	0.0	5.0438	14
8302	Q13237_PF00027_304_393	5JIX_A	fpocket1	0.044	12.8492	19
8303	Q13237_PF00027_304_393	5JIX_A	fpocket2	0.387	2.0167	10
8304	Q13239_PF00018_29_74	2CUD_A	fpocket1	0.415	5.4905	17
8305	Q13239_PF00018_29_74	2CUD_A	fpocket2	0.0	0.3338	11
8306	Q13241_PF00059_78_176	3BDW_A	fpocket2	0.034	3.2876	15
8307	Q13241_PF00059_78_176	3BDW_A	fpocket3	0.039	2.8179	13
8308	Q13255_PF00003_586_834	7DGE_A	fpocket9	0.006	13.5282	23
8309	Q13255_PF00003_586_834	7DGE_A	fpocket1	0.841	12.7574	23
8310	Q13257_PF02301_16_196	2VFX_K	fpocket14	0.051	13.808	15
8311	Q13257_PF02301_16_196	2VFX_K	fpocket4	0.003	6.6819	17
8312	Q13263_PF00628_627_672	1FP0_A	fpocket3	0.006	2.2495	9
8313	Q13263_PF00628_627_672	1FP0_A	fpocket2	0.224	2.1963	13
8314	Q13263_PF00643_204_245	2YVR_A	fpocket1	0.272	0.8343	12
8315	Q13263_PF14634_64_122	6I9H_A	fpocket5	0.0	4.0548	13
8316	Q13263_PF14634_64_122	6I9H_A	fpocket3	0.294	3.4727	18
8317	Q13283_PF02136_11_133	5FW5_A	fpocket8	0.002	5.0685	17
8318	Q13283_PF02136_11_133	5FW5_A	fpocket1	0.11	4.1937	14
8319	Q13285_PF00104_250_442	1ZDT_A	fpocket11	0.524	35.2448	23
8320	Q13285_PF00104_250_442	1ZDT_A	fpocket6	0.354	31.5708	22
8321	Q13303_PF00248_51_355	1ZSX_A	fpocket3	0.99	77.1582	24
8322	Q13303_PF00248_51_355	1ZSX_A	fpocket7	0.002	10.4501	14
8323	Q13308_PF07714_796_1061	6VG3_C	fpocket1	0.352	19.2564	22
8324	Q13308_PF07714_796_1061	6VG3_C	fpocket18	0.0	4.7937	15
8325	Q13309_PF12937_97_143	2AST_B	fpocket2	0.003	3.0024	13
8326	Q13309_PF12937_97_143	2AST_B	fpocket1	0.048	1.9889	16
8327	Q13315_PF11640_8_165	7NI5_A	fpocket5	0.574	7.4559	15
8328	Q13315_PF11640_8_165	7NI5_A	fpocket8	0.001	6.3307	15
8329	Q13322_PF00017_493_574	1NRV_A	fpocket1	0.337	5.0391	16
8330	Q13322_PF00017_493_574	1NRV_A	fpocket2	0.001	3.5555	22
8331	Q13322_PF00169_291_399	3HK0_A	fpocket1	0.605	2.6277	22
8332	Q13322_PF00169_291_399	3HK0_A	fpocket2	0.01	2.4605	14
8333	Q13322_PF00788_166_250	3HK0_A	fpocket1	0.114	7.2824	16
8334	Q13322_PF00788_166_250	3HK0_A	fpocket4	0.158	2.4752	16
8335	Q13330_PF00249_285_331	4BKX_A	fpocket2	0.0	1.4074	14
8336	Q13330_PF00249_285_331	4BKX_A	fpocket1	0.001	0.5658	5
8337	Q13330_PF17226_464_541	6G16_B	fpocket1	0.82	4.3965	22
8338	Q13330_PF17226_464_541	6G16_B	fpocket2	0.002	3.06	14
8339	Q13332_PF00041_333_414	4PBX_A	fpocket1	0.54	5.0797	19
8340	Q13332_PF00041_333_414	4PBX_A	fpocket2	0.0	1.2914	8
8341	Q13332_PF00041_428_513	4PBX_A	fpocket1	0.002	2.7635	21
8342	Q13332_PF00041_428_513	4PBX_A	fpocket3	0.002	1.7362	14
8343	Q13332_PF00041_526_606	4PBX_A	fpocket3	0.005	6.1515	17
8344	Q13332_PF00041_526_606	4PBX_A	fpocket2	0.389	3.9162	16
8345	Q13332_PF00102_1416_1647	2FH7_A	fpocket1	0.0	22.7871	22
8346	Q13332_PF00102_1416_1647	2FH7_A	fpocket8	0.002	6.9612	20
8347	Q13332_PF00102_1705_1938	2FH7_A	fpocket15	0.002	21.0115	21
8348	Q13332_PF00102_1705_1938	2FH7_A	fpocket4	0.291	10.1763	21
8349	Q13332_PF07679_245_328	2YD9_A	fpocket2	0.0	1.0269	14
8350	Q13332_PF07679_245_328	2YD9_A	fpocket1	0.019	0.851	12
8351	Q13332_PF07679_33_124	2YD3_A	fpocket2	0.197	3.4412	16
8352	Q13332_PF07679_33_124	2YD3_A	fpocket3	0.0	3.0239	16
8353	Q13332_PF13927_135_220	2YD3_A	fpocket1	0.262	5.4176	18
8354	Q13332_PF13927_135_220	2YD3_A	fpocket3	0.0	4.2014	15
8355	Q13342_PF00439_767_840	6G8R_B	fpocket1	0.717	8.9117	21
8356	Q13342_PF00439_767_840	6G8R_B	fpocket4	0.001	6.2412	8
8357	Q13356_PF00160_281_433	1ZKC_A	fpocket10	0.067	7.5929	17
8358	Q13356_PF00160_281_433	1ZKC_A	fpocket3	0.138	7.23	19
8359	Q13363_PF00389_30_352	1MX3_A	fpocket1	0.04	52.5367	26
8360	Q13363_PF00389_30_352	1MX3_A	fpocket4	0.223	20.8342	19
8361	Q13363_PF02826_133_317	1MX3_A	fpocket1	0.319	19.3169	19
8362	Q13363_PF02826_133_317	1MX3_A	fpocket2	0.214	8.9335	18
8363	Q13370_PF00233_736_1007	1SO2_C	fpocket4	0.994	59.9581	19
8364	Q13370_PF00233_736_1007	1SO2_C	fpocket16	0.063	10.5469	15
8365	Q13393_PF13091_766_942	6U8Z_A	fpocket2	0.848	7.9096	13
8366	Q13393_PF13091_766_942	6U8Z_A	fpocket4	0.024	6.5534	18
8367	Q13402_PF00373_2009_2115	5MV9_A	fpocket1	0.287	4.2137	13
8368	Q13402_PF00373_2009_2115	5MV9_A	fpocket2	0.002	0.8944	14
8369	Q13404_PF00179_16_144	2A4D_A	fpocket3	0.063	3.5874	13
8370	Q13404_PF00179_16_144	2A4D_A	fpocket1	0.002	2.7214	16
8371	Q13405_PF05046_82_166	7OF0_g	fpocket1	0.212	2.9113	13
8372	Q13405_PF05046_82_166	7OF0_g	fpocket2	0.007	2.7489	11
8373	Q13415_PF00004_530_675	7JPO_A	fpocket5	0.147	8.3232	24
8374	Q13415_PF00004_530_675	7JPO_A	fpocket6	0.0	6.9249	16
8375	Q13415_PF09079_778_857	7JPO_A	fpocket2	0.431	11.909	20
8376	Q13415_PF09079_778_857	7JPO_A	fpocket8	0.002	5.0123	15
8377	Q13415_PF17872_669_738	7JPO_A	fpocket2	0.52	5.2904	18
8378	Q13415_PF17872_669_738	7JPO_A	fpocket1	0.007	3.3831	10
8379	Q13418_PF07714_193_446	6MIB_A	fpocket27	0.076	77.8707	21
8380	Q13418_PF07714_193_446	6MIB_A	fpocket9	0.001	14.5358	18
8381	Q13425_PF00595_115_195	2VRF_A	fpocket1	0.494	11.4417	17
8382	Q13425_PF00595_115_195	2VRF_A	fpocket3	0.001	7.0905	19
8383	Q13427_PF00160_11_176	2WFI_A	fpocket3	0.089	10.2698	21
8384	Q13427_PF00160_11_176	2WFI_A	fpocket2	0.002	7.1598	23
8385	Q13435_PF02037_24_58	2DO5_A	fpocket2	0.013	1.1079	11
8386	Q13435_PF02037_24_58	2DO5_A	fpocket1	0.41	0.4961	10
8387	Q13451_PF00254_158_248	5OMP_A	fpocket1	0.234	3.5836	16
8388	Q13451_PF00254_158_248	5OMP_A	fpocket2	0.204	1.9638	10
8389	Q13451_PF00254_43_135	7AOT_A	fpocket1	0.497	12.3873	20
8390	Q13451_PF00254_43_135	7AOT_A	fpocket4	0.032	6.6533	16
8391	Q13459_PF00620_1713_1859	5C5S_A	fpocket5	0.671	6.5156	13
8392	Q13459_PF00620_1713_1859	5C5S_A	fpocket1	0.962	6.0744	17
