	domain	fpocket	druggability score	prank rescore	buriedness	min pLDDT
13460	Q08345_PF00754_46_182	fpocket1	0.258	9.9069	14	86.36
13461	Q08345_PF00754_46_182	fpocket7	0.001	2.4049	12	90.43
13462	Q08345_PF07714_610_905	fpocket7	0.384	12.9666	18	80.23
13463	Q08380_PF00530_27_124	fpocket1	0.566	9.812	19	78.82
13464	Q08380_PF00530_27_124	fpocket3	0.0	1.7174	15	74.23
13465	Q08380_PF07707_260_360	fpocket1	0.603	6.6164	14	89.31
13466	Q08380_PF07707_260_360	fpocket5	0.056	6.0577	15	91.89
13467	Q08426_PF00725_478_582	fpocket5	0.059	7.4482	12	95.98
13468	Q08426_PF00725_478_582	fpocket7	0.0	13.4434	17	88.26
13469	Q08426_PF00725_619_715	fpocket2	0.004	4.8062	17	96.96
13470	Q08426_PF00725_619_715	fpocket3	0.605	4.8699	16	93.83
13471	Q08426_PF02737_299_476	fpocket11	0.252	13.7622	17	91.69
13472	Q08426_PF02737_299_476	fpocket3	0.0	8.5194	16	85.67
13473	Q08431_PF00008_27_65	fpocket1	0.457	5.6091	11	80.78
13474	Q08431_PF00754_245_384	fpocket2	0.126	7.4857	11	83.85
13475	Q08431_PF00754_245_384	fpocket3	0.0	1.7604	12	85.14
13476	Q08431_PF00754_85_222	fpocket3	0.563	3.1761	7	82.84
13477	Q08431_PF00754_85_222	fpocket7	0.0	5.3994	11	77.2
13478	Q08462_PF00211_281_465	fpocket1	0.944	10.1891	19	83.36
13479	Q08462_PF00211_281_465	fpocket9	0.0	6.8871	11	91.09
13480	Q08462_PF00211_878_1078	fpocket5	0.003	7.0289	17	85.66
13481	Q08477_PF00067_52_515	fpocket1	0.961	21.3847	24	94.31
13482	Q08477_PF00067_52_515	fpocket22	0.076	26.7629	19	86.07
13483	Q08493_PF00233_387_627	fpocket19	0.003	23.4136	15	93.71
13484	Q08493_PF00233_387_627	fpocket8	0.001	27.6825	23	92.15
13485	Q08495_PF02209_370_405	fpocket1	0.281	4.0793	11	87.22
13486	Q08499_PF00233_461_701	fpocket2	0.926	51.5315	17	84.64
13487	Q08499_PF00233_461_701	fpocket20	0.007	4.5119	17	94.19
13488	Q08499_PF18100_223_339	fpocket1	0.271	3.1079	12	70.27
13489	Q08499_PF18100_223_339	fpocket8	0.488	3.7767	13	83.99
13490	Q08554_PF00028_139_233	fpocket3	0.001	2.6768	12	85.1
13491	Q08554_PF00028_139_233	fpocket6	0.0	3.286	7	86.0
13492	Q08554_PF00028_247_345	fpocket1	0.195	5.4869	21	94.62
13493	Q08554_PF00028_247_345	fpocket2	0.0	5.7434	16	95.07
13494	Q08554_PF00028_476_568	fpocket2	0.005	3.7702	17	80.72
13495	Q08554_PF00028_476_568	fpocket4	0.0	1.7483	10	89.38
13496	Q08554_PF08758_29_111	fpocket2	0.22	3.0328	15	74.24
13497	Q08629_PF00086_313_376	fpocket1	0.001	7.0539	17	76.19
13498	Q08629_PF00086_313_376	fpocket5	0.003	3.8841	10	78.86
13499	Q08629_PF07648_134_180	fpocket1	0.01	7.3405	13	85.09
13500	Q08629_PF10591_195_304	fpocket5	0.005	6.0755	13	80.64
13501	Q08722_PF08204_8_142	fpocket2	0.028	2.2192	15	93.11
13502	Q08752_PF00160_19_183	fpocket1	0.008	7.7358	17	96.76
13503	Q08752_PF00160_19_183	fpocket3	0.0	3.6118	22	94.69
13504	Q08828_PF00211_859_1056	fpocket7	0.0	5.8736	15	83.13
13505	Q08830_PF00147_79_305	fpocket4	0.017	6.0409	18	83.13
13506	Q08830_PF00147_79_305	fpocket6	0.006	3.9821	13	96.9
13507	Q08881_PF00017_239_323	fpocket2	0.315	7.0192	19	82.8
13508	Q08881_PF00017_239_323	fpocket4	0.004	6.2583	13	86.91
13509	Q08881_PF00018_177_223	fpocket1	0.127	3.1182	10	75.03
13510	Q08881_PF00018_177_223	fpocket2	0.308	7.0287	15	85.57
13511	Q08881_PF07714_363_612	fpocket7	0.097	11.4707	14	78.68
13512	Q08945_PF00505_547_615	fpocket1	0.001	2.2838	16	86.71
13513	Q08945_PF00505_547_615	fpocket2	0.286	0.5847	10	86.37
13514	Q08945_PF03531_106_170	fpocket3	0.743	12.6131	16	78.97
13515	Q08945_PF03531_106_170	fpocket4	0.001	8.6937	16	82.51
13516	Q08945_PF08512_339_427	fpocket4	0.019	3.0495	10	88.36
13517	Q08945_PF17292_5_99	fpocket2	0.0	2.1088	14	73.05
13518	Q08945_PF17292_5_99	fpocket3	0.006	1.7296	18	78.98
13519	Q08999_PF01857_835_1018	fpocket10	0.784	8.7144	15	93.86
13520	Q08999_PF01857_835_1018	fpocket6	0.169	6.3889	12	94.25
13521	Q08999_PF01858_417_609	fpocket14	0.017	5.6962	16	78.12
13522	Q08AD1_PF11971_233_316	fpocket1	0.258	7.4995	21	89.82
13523	Q08AD1_PF11971_233_316	fpocket6	0.086	8.0018	15	88.61
13524	Q08AE8_PF16474_40_236	fpocket3	0.332	5.3503	16	75.06
13525	Q08AF3_PF04326_191_321	fpocket10	0.154	5.3409	13	93.66
13526	Q08AF3_PF04326_191_321	fpocket4	0.136	4.9463	18	89.81
13527	Q08AG5_PF00096_225_247	fpocket1	0.156	0.5116	12	81.38
13528	Q08AG5_PF13912_253_278	fpocket1	0.001	1.539	12	71.31
13529	Q08AG5_PF13912_253_278	fpocket2	0.153	1.2242	11	71.31
13530	Q08AH1_PF13193_483_563	fpocket2	0.124	1.1258	14	89.6
13531	Q08AH1_PF13193_483_563	fpocket3	0.003	0.6712	11	92.16
13532	Q08AH3_PF13193_477_557	fpocket1	0.081	1.416	14	93.66
13533	Q08AH3_PF13193_477_557	fpocket4	0.449	2.5904	14	92.03
13534	Q08AM6_PF11916_542_720	fpocket1	0.744	5.3021	20	92.42
13535	Q08AM6_PF11916_542_720	fpocket8	0.13	7.4207	15	92.22
13536	Q08AN1_PF00096_493_515	fpocket1	0.424	1.5939	11	84.38
13537	Q08AN1_PF00096_521_543	fpocket1	0.1	1.9388	11	82.01
13538	Q08AN1_PF00096_577_599	fpocket1	0.007	1.2619	12	81.49
13539	Q08AN1_PF00096_689_711	fpocket1	0.088	6.3581	6	75.4
13540	Q08AN1_PF00096_717_739	fpocket1	0.279	3.5296	10	77.57
13541	Q08AN1_PF00096_745_767	fpocket1	0.0	1.0297	11	77.61
13542	Q08ER8_PF00096_199_221	fpocket1	0.13	0.6709	13	79.38
13543	Q08ER8_PF00096_199_221	fpocket2	0.107	1.0537	11	79.38
13544	Q08ER8_PF00096_283_305	fpocket1	0.39	3.5923	8	86.99
13545	Q08ER8_PF00096_311_333	fpocket1	0.005	2.5365	12	86.76
13546	Q08ER8_PF00096_339_361	fpocket1	0.382	6.666	8	86.94
13547	Q08ER8_PF00096_507_529	fpocket1	0.449	2.5338	13	83.55
13548	Q08ET2_PF07686_24_140	fpocket1	0.094	3.172	13	91.46
13549	Q08ET2_PF07686_24_140	fpocket2	0.271	3.2744	12	82.62
13550	Q08ET2_PF08205_151_224	fpocket2	0.304	2.6211	18	87.13
13551	Q08ET2_PF08205_151_224	fpocket4	0.028	3.4576	14	70.25
13552	Q08ET2_PF13895_255_336	fpocket1	0.065	9.4411	15	78.71
13553	Q08ET2_PF13895_255_336	fpocket8	0.001	5.0493	16	79.37
13554	Q09013_PF00069_71_339	fpocket1	0.001	10.7616	19	76.42
13555	Q09013_PF00069_71_339	fpocket9	0.232	17.9944	20	87.96
13556	Q09428_PF00005_1361_1509	fpocket14	0.041	16.0204	15	81.07
13557	Q09428_PF00005_1361_1509	fpocket16	0.086	30.5903	17	88.71
13558	Q09428_PF00005_696_857	fpocket1	0.0	5.3365	10	77.29
13559	Q09428_PF00005_696_857	fpocket19	0.0	45.0164	18	81.32
13560	Q09470_PF02214_39_130	fpocket1	0.012	2.9862	13	95.67
13561	Q09470_PF02214_39_130	fpocket2	0.09	3.152	10	89.19
13562	Q09472_PF00439_1058_1144	fpocket2	0.801	6.6539	23	90.69
13563	Q09472_PF00439_1058_1144	fpocket3	0.035	7.2972	15	94.07
13564	Q09472_PF06001_1156_1195	fpocket2	0.193	7.08	15	73.19
13565	Q09472_PF08214_1306_1612	fpocket7	0.018	18.3895	19	81.81
13566	Q09472_PF08214_1306_1612	fpocket9	0.006	15.5052	16	88.15
13567	Q09FC8_PF00096_432_454	fpocket1	0.012	3.4704	11	88.26
13568	Q09FC8_PF00096_544_566	fpocket1	0.825	1.1607	9	89.93
13569	Q09FC8_PF00096_572_594	fpocket1	0.663	2.6349	10	86.99
13570	Q09FC8_PF00096_572_594	fpocket2	0.005	1.7776	11	86.38
13571	Q0D2J5_PF00096_256_278	fpocket1	0.284	1.2606	12	83.39
13572	Q0D2J5_PF00096_340_362	fpocket1	0.0	2.1827	9	86.63
13573	Q0D2J5_PF00096_340_362	fpocket2	0.0	1.5307	9	85.78
13574	Q0D2J5_PF13912_313_337	fpocket1	0.005	1.5127	8	84.67
13575	Q0D2J5_PF13912_313_337	fpocket2	0.186	2.2151	13	86.49
13576	Q0D2K2_PF00651_23_130	fpocket1	0.746	5.2498	14	80.32
13577	Q0D2K2_PF00651_23_130	fpocket4	0.01	1.9562	15	90.86
13578	Q0D2K2_PF07707_135_237	fpocket1	0.137	4.4412	14	86.19
13579	Q0D2K2_PF07707_135_237	fpocket4	0.439	8.0427	12	86.19
13580	Q0GE19_PF13593_10_324	fpocket1	0.103	16.2032	18	71.52
13581	Q0GE19_PF13593_10_324	fpocket19	0.2	12.6066	17	84.36
13582	Q0IIM8_PF02893_145_253	fpocket1	0.289	7.3505	11	79.42
13583	Q0IIM8_PF02893_145_253	fpocket2	0.0	9.0623	12	75.99
13584	Q0IIM8_PF02893_285_385	fpocket2	0.27	7.2322	12	70.18
13585	Q0IIM8_PF02893_285_385	fpocket4	0.0	1.5028	12	78.8
13586	Q0JRZ9_PF10291_543_809	fpocket14	0.234	5.0056	14	91.84
13587	Q0JRZ9_PF10291_543_809	fpocket8	0.005	3.3108	15	72.96
13588	Q0P5N6_PF00025_14_193	fpocket2	0.001	8.3078	21	91.0
13589	Q0P6D2_PF14875_22_169	fpocket1	0.484	8.2098	17	95.09
13590	Q0P6H9_PF00149_56_261	fpocket14	0.0	11.4486	14	93.23
13591	Q0P6H9_PF00149_56_261	fpocket3	0.317	8.3178	17	98.21
13592	Q0VAM2_PF00618_37_138	fpocket2	0.096	6.6573	14	89.58
13593	Q0VAM2_PF00618_37_138	fpocket6	0.175	5.27	14	88.47
13594	Q0VG99_PF00010_82_136	fpocket1	0.009	3.1818	13	71.33
13595	Q0VG99_PF00010_82_136	fpocket5	0.179	4.2295	11	86.97
13596	Q0VGE8_PF00096_285_307	fpocket1	0.122	0.7873	9	80.03
13597	Q0VGE8_PF00096_313_335	fpocket1	0.338	3.3204	10	81.24
13598	Q0VGE8_PF00096_369_391	fpocket1	0.331	1.574	13	79.18
13599	Q0VGE8_PF00096_397_419	fpocket1	0.471	2.4148	11	78.52
13600	Q0VGE8_PF00096_509_531	fpocket1	0.057	0.6393	11	87.25
13601	Q0VGE8_PF00096_537_559	fpocket1	0.104	2.6656	8	90.04
13602	Q0VGE8_PF00096_565_587	fpocket1	0.131	1.9298	12	85.66
13603	Q0VGE8_PF00096_621_643	fpocket1	0.614	3.9227	11	82.79
13604	Q0Z7S8_PF00061_6_132	fpocket1	0.665	28.0829	22	83.14
13605	Q0Z7S8_PF00061_6_132	fpocket5	0.075	5.7792	18	94.55
13606	Q0ZGT2_PF07679_582_671	fpocket1	0.277	3.1676	15	84.98
13607	Q0ZGT2_PF07679_582_671	fpocket2	0.0	1.982	15	94.2
13608	Q10471_PF00652_446_563	fpocket3	0.021	4.7978	17	80.22
13609	Q10471_PF00652_446_563	fpocket5	0.023	9.469	13	89.1
13610	Q10472_PF00652_430_548	fpocket2	0.004	3.0633	16	85.55
13611	Q10472_PF00652_430_548	fpocket3	0.124	3.0934	19	91.42
13612	Q10567_PF02883_720_826	fpocket1	0.348	5.3301	14	93.3
13613	Q10567_PF02883_720_826	fpocket3	0.019	8.7026	14	93.69
13614	Q10567_PF09066_836_947	fpocket2	0.246	3.7181	15	89.08
13615	Q10567_PF09066_836_947	fpocket4	0.49	5.7712	13	87.52
13616	Q10588_PF02267_40_280	fpocket1	0.793	27.9487	21	98.08
13617	Q10588_PF02267_40_280	fpocket10	0.005	6.848	12	93.88
13618	Q10589_PF16716_49_136	fpocket2	0.174	2.6539	9	98.31
13619	Q10589_PF16716_49_136	fpocket4	0.33	3.753	11	98.31
13620	Q10713_PF05193_232_431	fpocket11	0.019	7.6303	14	94.39
13621	Q10713_PF05193_232_431	fpocket14	0.188	8.1776	13	94.18
13622	Q11128_PF17039_73_183	fpocket1	0.192	4.9796	15	94.98
13623	Q11128_PF17039_73_183	fpocket6	0.002	3.5865	12	97.5
13624	Q11130_PF17039_44_154	fpocket2	0.018	6.1811	17	95.53
13625	Q11130_PF17039_44_154	fpocket9	0.735	13.8293	19	97.07
13626	Q12756_PF00169_1576_1673	fpocket5	0.117	3.9865	17	70.65
13627	Q12756_PF00169_1576_1673	fpocket7	0.004	3.9887	12	73.82
13628	Q12756_PF00225_11_354	fpocket1	0.169	14.5987	17	91.42
13629	Q12766_PF18717_979_1109	fpocket2	0.444	3.8542	19	91.01
13630	Q12772_PF00010_331_381	fpocket2	0.02	1.2286	13	82.51
13631	Q12774_PF00621_1178_1356	fpocket2	0.328	4.6434	15	91.23
13632	Q12774_PF00621_1178_1356	fpocket8	0.283	6.7528	9	88.28
13633	Q12774_PF14604_1518_1567	fpocket1	0.126	2.9395	15	84.71
13634	Q12774_PF14604_1518_1567	fpocket2	0.0	0.7307	14	80.22
13635	Q12778_PF00250_160_248	fpocket3	0.001	1.458	17	94.14
13636	Q12788_PF08625_654_788	fpocket11	0.488	8.1204	10	84.71
13637	Q12788_PF08625_654_788	fpocket5	0.312	9.2789	13	81.86
13638	Q12792_PF00241_184_311	fpocket2	0.001	3.8432	16	86.22
13639	Q12792_PF00241_184_311	fpocket3	0.252	6.2516	18	87.62
13640	Q12792_PF00241_9_136	fpocket3	0.549	3.0026	20	93.56
13641	Q12792_PF00241_9_136	fpocket4	0.0	2.8128	15	92.0
13642	Q12794_PF01630_25_355	fpocket2	0.003	13.2962	19	97.66
13643	Q12797_PF05118_591_745	fpocket1	0.142	14.872	26	74.29
13644	Q12797_PF05118_591_745	fpocket7	0.007	5.5545	13	81.23
13645	Q12798_PF13499_103_167	fpocket1	0.416	7.9155	19	89.28
13646	Q12798_PF13499_103_167	fpocket4	0.008	5.4655	17	92.48
13647	Q12798_PF13499_30_94	fpocket1	0.002	3.7141	18	84.84
13648	Q12798_PF13499_30_94	fpocket7	0.0	2.2504	12	90.87
13649	Q12800_PF18016_319_382	fpocket1	0.067	0.7811	12	89.13
13650	Q12805_PF07645_173_212	fpocket2	0.232	2.4768	11	86.87
13651	Q12805_PF07645_173_212	fpocket3	0.001	4.6586	11	83.97
13652	Q12805_PF07645_334_381	fpocket1	0.671	2.6212	12	88.7
13653	Q12805_PF12662_234_257	fpocket1	0.174	7.5208	10	88.24
13654	Q12805_PF12662_274_297	fpocket1	0.049	4.3509	13	88.83
13655	Q12809_PF00027_760_845	fpocket1	0.098	3.3827	13	88.01
13656	Q12809_PF00027_760_845	fpocket2	0.318	6.7228	20	88.48
13657	Q12809_PF13426_29_132	fpocket1	0.0	1.6577	13	86.87
13658	Q12809_PF13426_29_132	fpocket2	0.333	2.4349	17	78.14
13659	Q12829_PF00071_16_176	fpocket7	0.076	6.9122	13	90.17
13660	Q12829_PF07525_188_223	fpocket1	0.112	1.7721	15	80.73
13661	Q12829_PF07525_188_223	fpocket2	0.003	0.9146	12	83.4
13662	Q12837_PF00157_253_327	fpocket2	0.006	1.4129	13	70.58
13663	Q12840_PF00225_27_327	fpocket1	0.241	32.3987	22	81.13
13664	Q12840_PF00225_27_327	fpocket11	0.002	9.6755	21	85.98
13665	Q12841_PF07648_53_98	fpocket1	0.682	10.6028	10	90.84
13666	Q12841_PF07648_53_98	fpocket2	0.169	7.2253	14	94.12
13667	Q12846_PF00804_40_235	fpocket19	0.002	6.8518	19	82.6
13668	Q12849_PF00076_252_320	fpocket2	0.232	3.9539	12	77.32
13669	Q12849_PF00076_252_320	fpocket6	0.014	2.6638	5	86.66
13670	Q12851_PF00069_16_273	fpocket5	0.001	4.97	13	90.12
13671	Q12857_PF03165_68_172	fpocket2	0.475	9.6388	15	91.96
13672	Q12860_PF00041_605_693	fpocket1	0.001	3.5773	21	88.77
13673	Q12860_PF00041_605_693	fpocket2	0.331	9.9229	14	92.03
13674	Q12860_PF00041_708_796	fpocket1	0.007	4.0979	18	90.7
13675	Q12860_PF00041_708_796	fpocket2	0.434	4.5093	16	73.74
13676	Q12860_PF00041_810_893	fpocket3	0.003	1.8088	18	83.48
13677	Q12860_PF07679_242_327	fpocket3	0.0	2.1571	12	91.32
13678	Q12860_PF07679_242_327	fpocket4	0.08	1.054	12	94.46
13679	Q12860_PF07679_413_501	fpocket1	0.032	2.3191	15	85.09
13680	Q12860_PF07679_413_501	fpocket2	0.085	1.9368	18	92.21
13681	Q12860_PF13927_331_395	fpocket1	0.392	5.5981	19	88.64
13682	Q12860_PF13927_331_395	fpocket3	0.011	2.6089	18	89.91
13683	Q12860_PF13927_41_118	fpocket1	0.327	5.8215	16	90.4
13684	Q12860_PF13927_41_118	fpocket3	0.0	4.1999	14	86.46
13685	Q12860_PF13927_506_587	fpocket2	0.139	8.6666	18	87.27
13686	Q12864_PF00028_131_235	fpocket1	0.17	5.7361	19	91.94
13687	Q12864_PF00028_131_235	fpocket7	0.001	2.7793	14	74.99
13688	Q12864_PF00028_243_331	fpocket1	0.544	3.0013	21	84.26
13689	Q12864_PF00028_243_331	fpocket7	0.011	4.2768	8	87.13
13690	Q12864_PF00028_345_440	fpocket5	0.0	3.6474	18	88.44
13691	Q12864_PF00028_345_440	fpocket6	0.311	5.0058	17	93.78
13692	Q12864_PF00028_456_558	fpocket1	0.005	4.1977	18	87.56
13693	Q12864_PF00028_456_558	fpocket3	0.006	4.1109	22	91.26
13694	Q12864_PF00028_571_657	fpocket1	0.001	3.962	20	81.17
13695	Q12864_PF00028_571_657	fpocket2	0.27	3.936	22	92.34
13696	Q12866_PF00041_285_371	fpocket1	0.0	3.5939	17	90.87
13697	Q12866_PF00041_285_371	fpocket4	0.0	3.491	12	86.76
13698	Q12866_PF00047_102_187	fpocket3	0.002	10.5568	16	81.79
13699	Q12866_PF07714_587_854	fpocket17	0.459	15.8101	21	71.69
13700	Q12870_PF00010_73_125	fpocket1	0.301	3.9003	13	90.82
13701	Q12870_PF00010_73_125	fpocket3	0.322	3.2042	15	92.57
13702	Q12872_PF09750_34_156	fpocket4	0.002	4.2539	12	86.6
13703	Q12872_PF09750_34_156	fpocket7	0.067	2.2124	12	82.44
13704	Q12873_PF00176_739_1035	fpocket18	0.004	5.8225	12	87.98
13705	Q12873_PF00176_739_1035	fpocket20	0.0	9.4156	18	78.28
13706	Q12873_PF00271_1060_1174	fpocket1	0.409	2.0249	12	90.61
13707	Q12873_PF00271_1060_1174	fpocket7	0.003	2.5071	12	88.74
13708	Q12873_PF00385_631_683	fpocket3	0.0	3.2447	10	81.58
13709	Q12873_PF00385_631_683	fpocket4	0.0	5.0561	15	87.21
13710	Q12873_PF00628_381_426	fpocket2	0.002	3.165	10	82.68
13711	Q12873_PF00628_458_503	fpocket1	0.004	5.2387	12	85.34
13712	Q12873_PF00628_458_503	fpocket2	0.361	2.0043	13	80.06
13713	Q12873_PF08074_1736_1882	fpocket6	0.266	3.0985	10	84.37
13714	Q12874_PF12108_74_100	fpocket2	0.315	2.3867	13	88.94
13715	Q12874_PF12108_74_100	fpocket3	0.154	4.5541	9	85.99
13716	Q12874_PF13297_224_303	fpocket1	0.554	5.2811	17	74.56
13717	Q12874_PF16837_129_180	fpocket2	0.002	3.7219	12	89.44
13718	Q12879_PF10613_404_541	fpocket1	0.002	2.43	16	73.29
13719	Q12879_PF10613_404_541	fpocket6	0.168	17.0062	20	90.04
13720	Q12882_PF01180_532_838	fpocket1	0.518	23.2734	30	95.46
13721	Q12882_PF01180_532_838	fpocket3	0.336	5.7207	14	97.68
13722	Q12882_PF07992_187_499	fpocket11	0.003	26.0925	23	93.84
13723	Q12882_PF07992_187_499	fpocket16	0.022	19.459	17	93.03
13724	Q12882_PF14691_55_168	fpocket3	0.399	5.4506	26	97.61
13725	Q12882_PF14691_55_168	fpocket4	0.007	2.8027	14	98.1
13726	Q12882_PF14697_946_1004	fpocket1	0.46	1.6153	26	97.09
13727	Q12882_PF14697_946_1004	fpocket2	0.046	1.2044	26	97.07
13728	Q12884_PF00326_553_759	fpocket1	0.926	39.236	18	98.61
13729	Q12884_PF00326_553_759	fpocket14	0.441	9.8712	14	98.12
13730	Q12888_PF09038_1483_1604	fpocket1	0.341	3.7056	20	90.92
13731	Q12888_PF09038_1483_1604	fpocket3	0.001	4.4661	18	84.52
13732	Q12889_PF00704_23_360	fpocket15	0.394	46.8416	19	95.86
13733	Q12889_PF00704_23_360	fpocket16	0.192	13.1637	17	97.96
13734	Q12891_PF01630_29_362	fpocket14	0.004	6.4731	14	92.09
13735	Q12891_PF01630_29_362	fpocket5	0.203	10.588	13	94.7
13736	Q12893_PF08551_49_151	fpocket1	0.679	8.9503	18	91.03
13737	Q12893_PF08551_49_151	fpocket2	0.084	6.0851	10	88.92
13738	Q12899_PF00643_97_138	fpocket1	0.146	3.6402	14	84.91
13739	Q12899_PF15227_16_56	fpocket1	0.403	2.1429	20	81.71
13740	Q12899_PF15227_16_56	fpocket2	0.001	3.6641	7	91.02
13741	Q12901_PF00096_176_198	fpocket1	0.025	1.0587	11	77.17
13742	Q12901_PF00096_204_226	fpocket1	0.151	1.0798	10	83.76
13743	Q12901_PF00096_232_254	fpocket1	0.096	0.7096	13	75.37
13744	Q12901_PF00096_232_254	fpocket2	0.001	1.1593	10	76.61
13745	Q12901_PF00096_260_282	fpocket1	0.211	1.7047	11	83.8
13746	Q12901_PF00096_288_310	fpocket1	0.502	2.9016	16	87.72
13747	Q12901_PF00096_288_310	fpocket2	0.0	3.5186	8	87.3
13748	Q12901_PF00096_428_450	fpocket1	0.09	2.1181	9	86.32
13749	Q12904_PF01588_157_250	fpocket4	0.033	5.3628	16	94.11
13750	Q12904_PF01588_157_250	fpocket6	0.001	1.642	19	93.38
13751	Q12905_PF07528_104_338	fpocket11	0.0	10.2862	20	98.19
13752	Q12905_PF07528_104_338	fpocket4	0.058	9.0067	15	96.91
13753	Q12906_PF00035_402_465	fpocket1	0.0	0.4959	13	85.98
13754	Q12906_PF00035_402_465	fpocket2	0.016	1.928	16	88.24
13755	Q12906_PF00035_526_588	fpocket2	0.007	0.9717	11	88.7
13756	Q12906_PF00035_526_588	fpocket3	0.002	0.9963	11	75.76
13757	Q12906_PF07528_94_342	fpocket12	0.001	4.9888	21	94.29
13758	Q12906_PF07528_94_342	fpocket31	0.0	8.6043	16	96.12
13759	Q12907_PF03388_52_278	fpocket1	0.001	4.6495	19	91.89
13760	Q12907_PF03388_52_278	fpocket6	0.002	11.9397	15	88.55
13761	Q12913_PF00041_120_199	fpocket3	0.888	5.2125	11	74.33
13762	Q12913_PF00041_368_445	fpocket2	0.389	3.1883	15	78.59
13763	Q12913_PF00041_368_445	fpocket4	0.002	2.4667	13	85.29
13764	Q12913_PF00102_1065_1297	fpocket6	0.202	7.0264	12	94.64
13765	Q12918_PF00059_111_212	fpocket3	0.0	3.0511	14	87.49
13766	Q12918_PF00059_111_212	fpocket7	0.001	4.2625	11	97.76
13767	Q12923_PF00102_2237_2466	fpocket6	0.0	4.6186	11	85.48
13768	Q12923_PF00373_665_781	fpocket1	0.001	8.8609	13	88.41
13769	Q12923_PF00373_665_781	fpocket2	0.19	10.2416	17	86.32
13770	Q12923_PF00595_1368_1450	fpocket1	0.348	2.9796	20	75.42
13771	Q12923_PF00595_1368_1450	fpocket3	0.157	2.3429	13	81.79
13772	Q12923_PF00595_1501_1585	fpocket2	0.161	5.3484	15	75.93
13773	Q12923_PF00595_1501_1585	fpocket4	0.013	5.6545	15	74.21
13774	Q12923_PF00595_1788_1866	fpocket1	0.297	3.9563	17	79.13
13775	Q12923_PF00595_1883_1961	fpocket2	0.001	2.7009	14	77.74
13776	Q12923_PF09379_576_638	fpocket1	0.015	3.7447	21	90.31
13777	Q12923_PF09379_576_638	fpocket3	0.49	27.4024	19	88.32
13778	Q12923_PF09380_787_876	fpocket2	0.219	4.5722	19	86.73
13779	Q12923_PF09380_787_876	fpocket4	0.001	5.0752	11	89.18
13780	Q12926_PF00076_127_195	fpocket1	0.163	6.1463	21	78.43
13781	Q12926_PF00076_127_195	fpocket5	0.005	2.096	11	91.54
13782	Q12926_PF00076_278_348	fpocket1	0.615	4.0351	22	90.98
13783	Q12926_PF00076_41_111	fpocket1	0.114	2.385	25	93.39
13784	Q12926_PF00076_41_111	fpocket2	0.153	0.9831	13	86.41
13785	Q12929_PF00018_537_582	fpocket1	0.653	4.1633	17	89.16
13786	Q12929_PF00018_537_582	fpocket2	0.0	1.445	7	86.23
13787	Q12929_PF08416_64_194	fpocket6	0.058	7.0274	12	90.58
13788	Q12929_PF08416_64_194	fpocket7	0.001	3.7105	19	81.92
13789	Q12929_PF18016_716_778	fpocket1	0.2	0.5431	13	86.9
13790	Q12931_PF02518_108_260	fpocket10	0.332	6.0577	15	86.66
13791	Q12931_PF02518_108_260	fpocket2	0.669	18.1917	27	81.03
13792	Q12933_PF00097_34_72	fpocket1	0.171	7.7667	18	91.13
13793	Q12933_PF00097_34_72	fpocket2	0.276	7.2285	13	94.18
13794	Q12946_PF00250_47_133	fpocket3	0.113	4.7137	14	96.67
13795	Q12946_PF00250_47_133	fpocket4	0.17	3.2734	15	88.32
13796	Q12947_PF00250_99_185	fpocket1	0.073	2.335	9	73.38
13797	Q12947_PF00250_99_185	fpocket2	0.211	4.2016	16	86.85
13798	Q12948_PF00250_77_163	fpocket1	0.122	4.4045	12	88.41
13799	Q12948_PF00250_77_163	fpocket2	0.083	3.3068	12	90.02
13800	Q12950_PF00250_103_189	fpocket1	0.012	7.5178	18	78.22
13801	Q12950_PF00250_103_189	fpocket3	0.001	5.6781	12	76.51
13802	Q12951_PF00250_122_208	fpocket2	0.216	5.8155	18	73.99
13803	Q12951_PF00250_122_208	fpocket3	0.451	6.5837	14	90.28
13804	Q12952_PF00250_48_134	fpocket1	0.031	3.3996	13	91.73
13805	Q12952_PF00250_48_134	fpocket2	0.089	3.5065	13	90.37
13806	Q12959_PF00018_587_643	fpocket1	0.0	1.3374	12	83.53
13807	Q12959_PF00018_587_643	fpocket3	0.36	3.8288	15	92.92
13808	Q12959_PF00595_224_308	fpocket1	0.001	2.4598	15	77.01
13809	Q12959_PF00595_224_308	fpocket2	0.031	1.1362	11	94.12
13810	Q12959_PF00595_319_403	fpocket1	0.703	3.0124	18	76.62
13811	Q12959_PF00595_319_403	fpocket2	0.148	2.5313	14	90.86
13812	Q12959_PF00595_466_544	fpocket1	0.471	5.7857	17	77.52
13813	Q12959_PF00595_466_544	fpocket3	0.036	2.0136	9	89.0
13814	Q12959_PF00625_713_891	fpocket3	0.0	6.1735	15	92.87
13815	Q12959_PF00625_713_891	fpocket5	0.008	6.2126	16	91.21
13816	Q12959_PF09058_6_64	fpocket1	0.001	0.4909	11	81.56
13817	Q12959_PF09058_6_64	fpocket2	0.001	2.8798	14	79.89
13818	Q12965_PF00018_1057_1102	fpocket1	0.437	4.9983	16	88.88
13819	Q12965_PF00018_1057_1102	fpocket2	0.001	2.1936	13	81.17
13820	Q12965_PF00063_21_679	fpocket20	0.001	13.078	22	73.52
